,region,date,tmax,tmin,wet,suntime
0,alsace,2020/01/01,6,1,-1,-1
0,alsace,2020/01/02,5,2,80,30180
0,alsace,2020/01/03,7,3,87,30240
0,alsace,2020/01/04,6,4,85,30300
0,alsace,2020/01/05,7,3,84,30420
0,alsace,2020/01/06,7,2,89,30480
0,alsace,2020/01/07,7,4,89,30600
0,alsace,2020/01/08,7,4,83,30660
0,alsace,2020/01/09,10,8,87,30720
0,alsace,2020/01/10,9,8,81,30900
0,alsace,2020/01/11,8,4,87,30960
0,alsace,2020/01/12,6,3,-1,-1
0,alsace,2020/01/13,8,4,-1,-1
0,alsace,2020/01/14,9,5,-1,-1
0,alsace,2020/01/15,11,6,-1,-1
0,alsace,2020/01/16,12,7,84,31560
0,alsace,2020/01/17,10,6,81,31680
0,alsace,2020/01/18,6,4,82,31860
0,alsace,2020/01/19,4,2,85,31980
0,alsace,2020/01/20,4,1,87,32160
0,alsace,2020/01/21,6,1,84,32220
0,alsace,2020/01/22,6,1,-1,-1
0,alsace,2020/01/23,6,1,-1,-1
0,alsace,2020/01/24,7,3,-1,-1
0,alsace,2020/01/25,7,2,-1,-1
0,alsace,2020/01/26,8,3,84,33000
0,alsace,2020/01/27,9,6,86,33240
0,alsace,2020/01/28,7,3,74,33360
0,alsace,2020/01/29,6,4,81,33540
0,alsace,2020/01/30,8,4,86,33660
0,alsace,2020/01/31,13,10,90,33840
0,alsace,2020/02/01,12,10,87,34080
0,alsace,2020/02/02,13,10,90,34200
0,alsace,2020/02/03,12,10,95,34380
0,alsace,2020/02/04,10,5,76,34620
0,alsace,2020/02/05,10,4,78,34740
0,alsace,2020/02/06,9,3,66,34980
0,alsace,2020/02/07,10,4,-1,-1
0,alsace,2020/02/08,9,4,-1,-1
0,alsace,2020/02/09,12,6,79,35520
0,alsace,2020/02/10,12,8,72,35700
0,alsace,2020/02/11,7,5,78,35880
0,alsace,2020/02/12,6,4,78,36120
0,alsace,2020/02/13,8,4,81,36300
0,alsace,2020/02/14,10,7,80,36480
0,alsace,2020/02/15,12,6,81,36660
0,alsace,2020/02/16,15,9,66,36900
0,alsace,2020/02/17,12,9,91,37080
0,alsace,2020/02/18,9,6,74,37260
0,alsace,2020/02/19,8,5,87,37500
0,alsace,2020/02/20,10,6,81,37680
0,alsace,2020/02/21,9,5,75,37920
0,alsace,2020/02/22,12,5,69,38100
0,alsace,2020/02/23,12,10,78,38280
0,alsace,2020/02/24,13,10,93,38520
0,alsace,2020/02/25,9,7,86,38700
0,alsace,2020/02/26,5,3,72,38940
0,alsace,2020/02/27,5,3,86,39120
0,alsace,2020/02/28,8,3,77,39360
0,alsace,2020/02/29,13,8,77,39600
0,alsace,2020/03/01,11,7,78,39780
0,alsace,2020/03/02,8,6,88,40020
0,alsace,2020/03/03,8,5,74,40260
0,alsace,2020/03/04,9,4,79,40440
0,alsace,2020/03/05,7,6,93,40680
0,alsace,2020/03/06,7,3,90,40860
0,alsace,2020/03/07,9,4,81,41100
0,alsace,2020/03/08,11,5,73,41280
0,alsace,2020/03/09,9,7,79,41520
0,alsace,2020/03/10,7,5,91,41760
0,alsace,2020/03/11,14,12,85,41940
0,alsace,2020/03/12,15,11,77,42180
0,alsace,2020/03/13,11,7,69,42360
0,alsace,2020/03/14,11,7,73,42600
0,alsace,2020/03/15,14,7,70,42780
0,alsace,2020/03/16,17,11,64,43020
0,alsace,2020/03/17,17,12,79,43200
0,alsace,2020/03/18,19,12,78,43440
0,alsace,2020/03/19,18,13,71,43620
0,alsace,2020/03/20,17,13,74,43860
0,alsace,2020/03/21,10,2,93,44100
0,alsace,2020/03/22,10,4,63,44340
0,alsace,2020/03/23,9,3,38,44520
0,alsace,2020/03/24,9,3,-1,-1
0,alsace,2020/03/25,9,3,-1,-1
0,alsace,2020/03/26,9,2,-1,-1
0,alsace,2020/03/27,13,6,-1,-1
0,alsace,2020/03/28,16,9,78,45540
0,alsace,2020/03/29,9,4,79,45780
0,alsace,2020/03/30,7,1,59,45960
0,alsace,2020/03/31,9,4,56,46260
0,alsace,2020/04/01,12,5,-1,-1
0,alsace,2020/04/02,14,9,52,46680
0,alsace,2020/04/03,13,8,65,46860
0,alsace,2020/04/04,15,8,69,47100
0,alsace,2020/04/05,21,12,-1,-1
0,alsace,2020/04/06,21,14,-1,-1
0,alsace,2020/04/07,22,15,64,47700
0,alsace,2020/04/08,22,15,64,47880
0,alsace,2020/04/09,22,17,58,48120
0,alsace,2020/04/10,22,16,-1,-1
0,alsace,2020/04/11,22,15,68,48540
0,alsace,2020/04/12,22,16,67,48720
0,alsace,2020/04/13,19,13,59,48960
