,region,date,tmax,tmin,wet,suntime
0,aquitaine,2020/01/01,12,10,89,31920
0,aquitaine,2020/01/02,11,7,86,31980
0,aquitaine,2020/01/03,11,8,92,32040
0,aquitaine,2020/01/04,9,7,92,32100
0,aquitaine,2020/01/05,8,3,-1,-1
0,aquitaine,2020/01/06,11,4,-1,-1
0,aquitaine,2020/01/07,12,9,-1,-1
0,aquitaine,2020/01/08,11,10,87,32400
0,aquitaine,2020/01/09,13,9,85,32460
0,aquitaine,2020/01/10,11,9,85,32520
0,aquitaine,2020/01/11,10,5,84,32640
0,aquitaine,2020/01/12,10,4,-1,-1
0,aquitaine,2020/01/13,12,7,-1,-1
0,aquitaine,2020/01/14,12,8,-1,-1
0,aquitaine,2020/01/15,12,8,-1,-1
0,aquitaine,2020/01/16,15,9,66,33120
0,aquitaine,2020/01/17,11,9,77,33240
0,aquitaine,2020/01/18,9,6,82,33360
0,aquitaine,2020/01/19,8,5,-1,-1
0,aquitaine,2020/01/20,8,3,-1,-1
0,aquitaine,2020/01/21,11,3,70,33720
0,aquitaine,2020/01/22,11,7,81,33840
0,aquitaine,2020/01/23,14,11,85,33960
0,aquitaine,2020/01/24,12,8,89,34140
0,aquitaine,2020/01/25,12,7,90,34260
0,aquitaine,2020/01/26,13,9,88,34380
0,aquitaine,2020/01/27,11,8,87,34500
0,aquitaine,2020/01/28,11,10,75,34620
0,aquitaine,2020/01/29,13,9,87,34800
0,aquitaine,2020/01/30,14,13,92,34980
0,aquitaine,2020/01/31,15,13,95,35100
0,aquitaine,2020/02/01,15,13,90,35280
0,aquitaine,2020/02/02,19,14,84,35400
0,aquitaine,2020/02/03,20,13,85,35520
0,aquitaine,2020/02/04,14,10,-1,-1
0,aquitaine,2020/02/05,11,6,-1,-1
0,aquitaine,2020/02/06,11,4,-1,-1
0,aquitaine,2020/02/07,14,7,-1,-1
0,aquitaine,2020/02/08,13,8,83,36300
0,aquitaine,2020/02/09,15,9,86,36540
0,aquitaine,2020/02/10,15,14,75,36660
0,aquitaine,2020/02/11,13,11,77,36840
0,aquitaine,2020/02/12,14,10,71,37020
0,aquitaine,2020/02/13,14,12,86,37200
0,aquitaine,2020/02/14,16,10,80,37380
0,aquitaine,2020/02/15,17,9,-1,-1
0,aquitaine,2020/02/16,20,12,65,37740
0,aquitaine,2020/02/17,13,11,87,37860
0,aquitaine,2020/02/18,12,9,75,38100
0,aquitaine,2020/02/19,13,10,82,38220
0,aquitaine,2020/02/20,14,8,82,38400
0,aquitaine,2020/02/21,15,8,77,38580
0,aquitaine,2020/02/22,16,8,72,38760
0,aquitaine,2020/02/23,16,9,-1,-1
0,aquitaine,2020/02/24,16,9,85,39120
0,aquitaine,2020/02/25,12,10,88,39300
