,region,date,tmax,tmin,wet,suntime
0,ardeche,2020/01/01,10,4,81,31920
0,ardeche,2020/01/02,7,3,92,31980
0,ardeche,2020/01/03,10,6,89,32040
0,ardeche,2020/01/04,10,6,79,32100
0,ardeche,2020/01/05,7,4,81,32160
0,ardeche,2020/01/06,9,5,89,32220
0,ardeche,2020/01/07,10,5,84,32340
0,ardeche,2020/01/08,11,7,90,32400
0,ardeche,2020/01/09,9,6,-1,-1
0,ardeche,2020/01/10,10,7,-1,-1
0,ardeche,2020/01/11,7,4,-1,-1
0,ardeche,2020/01/12,9,5,77,32760
0,ardeche,2020/01/13,7,4,-1,-1
0,ardeche,2020/01/14,8,6,-1,-1
0,ardeche,2020/01/15,8,7,-1,-1
0,ardeche,2020/01/16,10,7,-1,-1
0,ardeche,2020/01/17,7,5,-1,-1
0,ardeche,2020/01/18,6,3,-1,-1
0,ardeche,2020/01/19,5,2,74,33540
0,ardeche,2020/01/20,5,1,-1,-1
0,ardeche,2020/01/21,5,3,-1,-1
0,ardeche,2020/01/22,9,4,-1,-1
0,ardeche,2020/01/23,10,4,-1,-1
0,ardeche,2020/01/24,9,6,-1,-1
0,ardeche,2020/01/25,9,6,-1,-1
0,ardeche,2020/01/26,8,5,-1,-1
0,ardeche,2020/01/27,7,5,-1,-1
0,ardeche,2020/01/28,10,6,-1,-1
0,ardeche,2020/01/29,10,6,-1,-1
0,ardeche,2020/01/30,8,6,-1,-1
0,ardeche,2020/01/31,14,10,-1,-1
0,ardeche,2020/02/01,12,9,-1,-1
0,ardeche,2020/02/02,13,10,-1,-1
0,ardeche,2020/02/03,17,12,-1,-1
0,ardeche,2020/02/04,10,6,-1,-1
0,ardeche,2020/02/05,9,5,-1,-1
0,ardeche,2020/02/06,9,3,72,36000
0,ardeche,2020/02/07,9,5,83,36240
0,ardeche,2020/02/08,9,6,87,36360
0,ardeche,2020/02/09,9,6,-1,-1
0,ardeche,2020/02/10,12,9,-1,-1
0,ardeche,2020/02/11,10,8,-1,-1
0,ardeche,2020/02/12,9,5,-1,-1
0,ardeche,2020/02/13,7,5,-1,-1
0,ardeche,2020/02/14,11,7,-1,-1
0,ardeche,2020/02/15,13,8,72,37560
0,ardeche,2020/02/16,10,7,-1,-1
0,ardeche,2020/02/17,11,9,-1,-1
0,ardeche,2020/02/18,10,6,-1,-1
0,ardeche,2020/02/19,10,5,-1,-1
0,ardeche,2020/02/20,13,7,-1,-1
0,ardeche,2020/02/21,12,8,-1,-1
0,ardeche,2020/02/22,16,7,58,38820
0,ardeche,2020/02/23,18,10,53,38940
0,ardeche,2020/02/24,18,10,-1,-1
0,ardeche,2020/02/25,12,10,-1,-1
0,ardeche,2020/02/26,7,5,-1,-1
0,ardeche,2020/02/27,4,3,-1,-1
0,ardeche,2020/02/28,11,4,-1,-1
0,ardeche,2020/02/29,8,6,-1,-1
0,ardeche,2020/03/01,10,6,-1,-1
0,ardeche,2020/03/02,10,8,-1,-1
