,region,date,tmax,tmin,wet,suntime
0,auvergne,2020/01/01,8,3,83,31440
0,auvergne,2020/01/02,9,2,87,31500
0,auvergne,2020/01/03,9,5,-1,-1
0,auvergne,2020/01/04,7,4,-1,-1
0,auvergne,2020/01/05,6,2,-1,-1
0,auvergne,2020/01/06,12,3,73,31800
0,auvergne,2020/01/07,9,5,89,31920
0,auvergne,2020/01/08,10,8,-1,-1
0,auvergne,2020/01/09,13,8,-1,-1
0,auvergne,2020/01/10,8,5,-1,-1
0,auvergne,2020/01/11,6,2,-1,-1
0,auvergne,2020/01/12,8,3,-1,-1
0,auvergne,2020/01/13,11,4,79,32460
0,auvergne,2020/01/14,11,5,73,32520
0,auvergne,2020/01/15,12,7,78,32640
0,auvergne,2020/01/16,12,5,-1,-1
0,auvergne,2020/01/17,8,5,-1,-1
0,auvergne,2020/01/18,6,1,-1,-1
0,auvergne,2020/01/19,3,-1,-1,-1
0,auvergne,2020/01/20,3,-2,-1,-1
0,auvergne,2020/01/21,6,-1,74,33360
0,auvergne,2020/01/22,8,1,68,33540
0,auvergne,2020/01/23,9,3,81,33660
0,auvergne,2020/01/24,12,4,88,33780
0,auvergne,2020/01/25,11,3,-1,-1
0,auvergne,2020/01/26,10,5,-1,-1
0,auvergne,2020/01/27,8,4,-1,-1
0,auvergne,2020/01/28,7,6,-1,-1
0,auvergne,2020/01/29,9,5,-1,-1
0,auvergne,2020/01/30,9,5,-1,-1
0,auvergne,2020/01/31,14,10,-1,-1
0,auvergne,2020/02/01,14,9,-1,-1
0,auvergne,2020/02/02,14,12,-1,-1
0,auvergne,2020/02/03,17,12,-1,-1
0,auvergne,2020/02/04,10,4,-1,-1
0,auvergne,2020/02/05,5,2,-1,-1
0,auvergne,2020/02/06,9,1,-1,-1
0,auvergne,2020/02/07,11,3,76,35940
0,auvergne,2020/02/08,13,5,73,36120
0,auvergne,2020/02/09,13,6,-1,-1
0,auvergne,2020/02/10,12,10,-1,-1
0,auvergne,2020/02/11,9,6,-1,-1
0,auvergne,2020/02/12,9,4,-1,-1
0,auvergne,2020/02/13,12,5,-1,-1
0,auvergne,2020/02/14,12,7,-1,-1
0,auvergne,2020/02/15,17,6,-1,-1
0,auvergne,2020/02/16,16,10,-1,-1
0,auvergne,2020/02/17,10,7,-1,-1
0,auvergne,2020/02/18,9,4,-1,-1
0,auvergne,2020/02/19,8,5,-1,-1
0,auvergne,2020/02/20,14,5,-1,-1
0,auvergne,2020/02/21,10,4,85,38400
0,auvergne,2020/02/22,17,6,60,38580
0,auvergne,2020/02/23,17,9,54,38820
0,auvergne,2020/02/24,18,10,-1,-1
0,auvergne,2020/02/25,10,7,-1,-1
0,auvergne,2020/02/26,5,1,-1,-1
0,auvergne,2020/02/27,11,6,-1,-1
0,auvergne,2020/02/28,10,3,-1,-1
0,auvergne,2020/02/29,11,9,-1,-1
0,auvergne,2020/03/01,10,7,-1,-1
0,auvergne,2020/03/02,7,5,-1,-1
0,auvergne,2020/03/03,8,3,-1,-1
0,auvergne,2020/03/04,8,4,-1,-1
0,auvergne,2020/03/05,11,6,-1,-1
0,auvergne,2020/03/06,6,4,-1,-1
0,auvergne,2020/03/07,8,4,-1,-1
0,auvergne,2020/03/08,13,6,-1,-1
0,auvergne,2020/03/09,9,5,-1,-1
0,auvergne,2020/03/10,12,6,-1,-1
0,auvergne,2020/03/11,17,11,-1,-1
0,auvergne,2020/03/12,15,11,-1,-1
0,auvergne,2020/03/13,10,6,-1,-1
0,auvergne,2020/03/14,12,6,-1,-1
0,auvergne,2020/03/15,16,6,-1,-1
0,auvergne,2020/03/16,15,9,-1,-1
0,auvergne,2020/03/17,17,10,-1,-1
0,auvergne,2020/03/18,18,11,-1,-1
0,auvergne,2020/03/19,20,12,-1,-1
0,auvergne,2020/03/20,19,11,-1,-1
0,auvergne,2020/03/21,16,12,-1,-1
0,auvergne,2020/03/22,13,9,-1,-1
0,auvergne,2020/03/23,16,9,-1,-1
0,auvergne,2020/03/24,11,6,-1,-1
0,auvergne,2020/03/25,11,6,67,44760
0,auvergne,2020/03/26,9,2,69,44940
0,auvergne,2020/03/27,11,4,73,45180
0,auvergne,2020/03/28,14,8,-1,-1
0,auvergne,2020/03/29,8,2,-1,-1
0,auvergne,2020/03/30,5,1,-1,-1
0,auvergne,2020/03/31,10,2,-1,-1
0,auvergne,2020/04/01,12,7,65,46140
0,auvergne,2020/04/02,13,6,76,46320
0,auvergne,2020/04/03,10,4,76,46500
0,auvergne,2020/04/04,17,7,72,46680
0,auvergne,2020/04/05,18,10,55,46860
0,auvergne,2020/04/06,20,11,56,47100
0,auvergne,2020/04/07,20,11,59,47280
0,auvergne,2020/04/08,21,12,52,47460
0,auvergne,2020/04/09,21,13,61,47700
0,auvergne,2020/04/10,22,14,-1,-1
0,auvergne,2020/04/11,21,15,-1,-1
0,auvergne,2020/04/12,20,13,-1,-1
0,auvergne,2020/04/13,18,13,-1,-1
0,auvergne,2020/04/14,14,8,72,48600
0,auvergne,2020/04/15,21,11,-1,-1
0,auvergne,2020/04/16,19,13,-1,-1
0,auvergne,2020/04/17,22,13,-1,-1
0,auvergne,2020/04/18,19,15,-1,-1
0,auvergne,2020/04/19,16,13,-1,-1
0,auvergne,2020/04/20,17,14,-1,-1
0,auvergne,2020/04/21,19,15,-1,-1
0,auvergne,2020/04/22,18,13,-1,-1
0,auvergne,2020/04/23,19,15,-1,-1
0,auvergne,2020/04/24,22,15,-1,-1
0,auvergne,2020/04/25,21,16,-1,-1
0,auvergne,2020/04/26,19,14,-1,-1
0,auvergne,2020/04/27,19,15,-1,-1
0,auvergne,2020/04/28,16,13,-1,-1
0,auvergne,2020/04/29,15,11,-1,-1
0,auvergne,2020/04/30,12,8,-1,-1
0,auvergne,2020/05/01,16,10,-1,-1
0,auvergne,2020/05/02,14,11,-1,-1
0,auvergne,2020/05/03,19,14,-1,-1
0,auvergne,2020/05/04,26,17,-1,-1
0,auvergne,2020/05/05,22,16,-1,-1
0,auvergne,2020/05/06,17,13,-1,-1
0,auvergne,2020/05/07,22,15,-1,-1
0,auvergne,2020/05/08,25,17,-1,-1
0,auvergne,2020/05/09,24,17,-1,-1
0,auvergne,2020/05/10,21,14,-1,-1
0,auvergne,2020/05/11,15,6,-1,-1
0,auvergne,2020/05/12,13,6,-1,-1
0,auvergne,2020/05/13,11,4,-1,-1
0,auvergne,2020/05/14,14,12,-1,-1
0,auvergne,2020/05/15,14,9,-1,-1
0,auvergne,2020/05/16,12,10,-1,-1
0,auvergne,2020/05/17,19,14,-1,-1
0,auvergne,2020/05/18,19,13,-1,-1
0,auvergne,2020/05/19,20,14,-1,-1
0,auvergne,2020/05/20,23,16,85,54540
0,auvergne,2020/05/21,25,19,-1,-1
0,auvergne,2020/05/22,26,22,-1,-1
0,auvergne,2020/05/23,17,8,-1,-1
0,auvergne,2020/05/24,18,13,-1,-1
0,auvergne,2020/05/25,20,13,85,55080
0,auvergne,2020/05/26,21,15,80,55200
0,auvergne,2020/05/27,21,15,77,55320
0,auvergne,2020/05/28,22,18,85,55380
0,auvergne,2020/05/29,20,13,75,55500
0,auvergne,2020/05/30,20,15,82,55620
0,auvergne,2020/05/31,22,16,-1,-1
0,auvergne,2020/06/01,24,17,-1,-1
0,auvergne,2020/06/02,24,19,-1,-1
0,auvergne,2020/06/03,22,16,-1,-1
0,auvergne,2020/06/04,19,12,-1,-1
0,auvergne,2020/06/05,16,11,-1,-1
