,region,date,tmax,tmin,wet,suntime
0,bourgogne,2020/01/01,5,1,-1,-1
0,bourgogne,2020/01/02,5,2,87,30840
0,bourgogne,2020/01/03,7,4,90,30900
0,bourgogne,2020/01/04,7,5,87,30960
0,bourgogne,2020/01/05,6,3,86,31080
0,bourgogne,2020/01/06,6,1,95,31140
0,bourgogne,2020/01/07,7,4,96,31200
0,bourgogne,2020/01/08,7,6,98,31260
0,bourgogne,2020/01/09,9,6,82,31380
0,bourgogne,2020/01/10,8,4,87,31440
0,bourgogne,2020/01/11,7,3,86,31560
0,bourgogne,2020/01/12,5,1,-1,-1
0,bourgogne,2020/01/13,7,4,-1,-1
0,bourgogne,2020/01/14,9,5,-1,-1
0,bourgogne,2020/01/15,11,7,-1,-1
0,bourgogne,2020/01/16,10,6,91,32100
0,bourgogne,2020/01/17,8,7,91,32280
0,bourgogne,2020/01/18,6,2,93,32400
0,bourgogne,2020/01/19,5,1,85,32520
0,bourgogne,2020/01/20,5,1,-1,-1
0,bourgogne,2020/01/21,5,-1,-1,-1
0,bourgogne,2020/01/22,5,-1,-1,-1
0,bourgogne,2020/01/23,5,0,-1,-1
0,bourgogne,2020/01/24,7,3,-1,-1
0,bourgogne,2020/01/25,7,2,-1,-1
0,bourgogne,2020/01/26,9,4,93,33540
0,bourgogne,2020/01/27,7,5,88,33660
0,bourgogne,2020/01/28,7,5,80,33840
0,bourgogne,2020/01/29,8,5,92,33960
0,bourgogne,2020/01/30,6,4,92,34140
0,bourgogne,2020/01/31,13,10,96,34260
0,bourgogne,2020/02/01,12,9,90,34500
0,bourgogne,2020/02/02,13,10,92,34680
0,bourgogne,2020/02/03,14,12,90,34800
0,bourgogne,2020/02/04,10,5,79,34980
0,bourgogne,2020/02/05,7,4,90,35160
0,bourgogne,2020/02/06,7,2,70,35340
0,bourgogne,2020/02/07,9,4,-1,-1
0,bourgogne,2020/02/08,10,4,88,35700
0,bourgogne,2020/02/09,11,6,88,35820
0,bourgogne,2020/02/10,12,8,75,36060
