,region,date,tmax,tmin,wet,suntime
0,bretagne,2020/01/01,11,9,97,30360
0,bretagne,2020/01/02,11,8,93,30420
0,bretagne,2020/01/03,12,9,93,30480
0,bretagne,2020/01/04,9,4,91,30540
0,bretagne,2020/01/05,9,4,-1,-1
0,bretagne,2020/01/06,9,1,93,30780
0,bretagne,2020/01/07,13,8,99,30840
0,bretagne,2020/01/08,13,12,97,30900
0,bretagne,2020/01/09,13,9,93,30960
0,bretagne,2020/01/10,9,7,84,31080
0,bretagne,2020/01/11,9,4,89,31200
0,bretagne,2020/01/12,12,9,94,31320
0,bretagne,2020/01/13,11,9,96,31380
0,bretagne,2020/01/14,12,11,92,31560
0,bretagne,2020/01/15,12,8,84,31680
0,bretagne,2020/01/16,11,8,87,31740
0,bretagne,2020/01/17,9,6,86,31920
0,bretagne,2020/01/18,9,4,88,32040
0,bretagne,2020/01/19,7,2,-1,-1
0,bretagne,2020/01/20,7,1,-1,-1
0,bretagne,2020/01/21,6,0,-1,-1
0,bretagne,2020/01/22,7,-1,8,-1
0,bretagne,2020/01/23,7,0,-1,-1
0,bretagne,2020/01/24,7,1,-1,-1
0,bretagne,2020/01/25,11,4,97,33060
0,bretagne,2020/01/26,10,6,95,33180
0,bretagne,2020/01/27,9,8,92,33420
0,bretagne,2020/01/28,7,5,88,33540
0,bretagne,2020/01/29,11,6,91,33720
0,bretagne,2020/01/30,13,12,96,33840
0,bretagne,2020/01/31,13,10,95,34020
0,bretagne,2020/02/01,13,11,93,34200
0,bretagne,2020/02/02,14,13,93,34380
0,bretagne,2020/02/03,13,11,94,34560
0,bretagne,2020/02/04,9,6,84,34740
0,bretagne,2020/02/05,10,5,91,34920
0,bretagne,2020/02/06,9,2,-1,-1
0,bretagne,2020/02/07,10,2,93,35280
0,bretagne,2020/02/08,11,8,97,35460
0,bretagne,2020/02/09,13,10,89,35640
0,bretagne,2020/02/10,11,7,76,35880
0,bretagne,2020/02/11,8,6,83,36000
0,bretagne,2020/02/12,10,5,85,36240
0,bretagne,2020/02/13,10,9,83,36420
0,bretagne,2020/02/14,12,7,91,36600
0,bretagne,2020/02/15,14,11,88,36840
0,bretagne,2020/02/16,14,13,87,36960
0,bretagne,2020/02/17,10,7,83,37200
0,bretagne,2020/02/18,11,6,83,37440
0,bretagne,2020/02/19,11,8,88,37620
0,bretagne,2020/02/20,11,7,86,37800
0,bretagne,2020/02/21,10,4,85,37980
