,region,date,tmax,tmin,wet,suntime
0,centre,2020/01/01,7,3,97,30480
0,centre,2020/01/02,10,7,97,30540
0,centre,2020/01/03,11,9,92,30600
0,centre,2020/01/04,8,4,83,30660
0,centre,2020/01/05,9,6,80,30780
0,centre,2020/01/06,7,2,-1,-1
0,centre,2020/01/07,10,7,94,30900
0,centre,2020/01/08,11,10,94,30960
0,centre,2020/01/09,11,9,83,31140
0,centre,2020/01/10,9,8,81,31200
0,centre,2020/01/11,7,4,89,31320
0,centre,2020/01/12,7,4,88,31380
0,centre,2020/01/13,9,7,94,31560
0,centre,2020/01/14,9,8,76,31620
0,centre,2020/01/15,11,9,72,31740
0,centre,2020/01/16,12,7,90,31860
0,centre,2020/01/17,9,5,88,31980
0,centre,2020/01/18,8,3,90,32160
0,centre,2020/01/19,7,3,86,32280
0,centre,2020/01/20,6,2,-1,-1
0,centre,2020/01/21,5,0,-1,-1
0,centre,2020/01/22,5,-1,9,-1
0,centre,2020/01/23,5,0,-1,-1
0,centre,2020/01/24,11,3,-1,-1
0,centre,2020/01/25,10,4,91,33120
0,centre,2020/01/26,11,6,90,33300
0,centre,2020/01/27,9,8,89,33480
0,centre,2020/01/28,8,6,75,33660
0,centre,2020/01/29,9,6,90,33780
0,centre,2020/01/30,12,7,97,33960
0,centre,2020/01/31,13,12,96,34080
0,centre,2020/02/01,13,12,91,34320
0,centre,2020/02/02,15,14,89,34440
0,centre,2020/02/03,14,13,90,34620
0,centre,2020/02/04,10,6,77,34860
0,centre,2020/02/05,8,5,89,34980
0,centre,2020/02/06,8,3,-1,-1
0,centre,2020/02/07,10,3,79,35340
0,centre,2020/02/08,10,7,85,35520
0,centre,2020/02/09,11,8,82,35700
0,centre,2020/02/10,13,9,71,35880
0,centre,2020/02/11,8,6,79,36120
0,centre,2020/02/12,9,5,80,36240
0,centre,2020/02/13,10,9,83,36480
0,centre,2020/02/14,11,8,83,36660
0,centre,2020/02/15,13,7,87,36840
0,centre,2020/02/16,16,13,61,37020
0,centre,2020/02/17,11,9,83,37260
0,centre,2020/02/18,10,5,81,37440
0,centre,2020/02/19,9,7,81,37620
0,centre,2020/02/20,9,7,81,37860
0,centre,2020/02/21,9,4,79,38040
0,centre,2020/02/22,12,6,81,38220
0,centre,2020/02/23,12,11,88,38400
0,centre,2020/02/24,12,11,89,38640
0,centre,2020/02/25,9,8,74,38820
0,centre,2020/02/26,7,3,70,39060
0,centre,2020/02/27,11,6,93,39240
0,centre,2020/02/28,7,4,91,39420
0,centre,2020/02/29,11,8,74,39660
0,centre,2020/03/01,8,2,86,39960
0,centre,2020/03/02,8,6,95,40140
0,centre,2020/03/03,8,3,86,40380
0,centre,2020/03/04,7,4,91,40500
0,centre,2020/03/05,11,10,95,40740
0,centre,2020/03/06,9,5,85,40920
0,centre,2020/03/07,10,5,88,41160
0,centre,2020/03/08,9,7,87,41340
0,centre,2020/03/09,10,6,85,41580
0,centre,2020/03/10,12,10,93,41760
