,region,date,tmax,tmin,wet,suntime
0,champagne-ardenne,2020/01/01,4,1,84,29760
0,champagne-ardenne,2020/01/02,6,3,98,29820
0,champagne-ardenne,2020/01/03,10,8,90,29880
0,champagne-ardenne,2020/01/04,7,3,89,30000
0,champagne-ardenne,2020/01/05,7,4,91,30120
0,champagne-ardenne,2020/01/06,5,1,93,30180
0,champagne-ardenne,2020/01/07,7,5,96,30240
0,champagne-ardenne,2020/01/08,10,9,96,30300
0,champagne-ardenne,2020/01/09,11,6,89,30480
0,champagne-ardenne,2020/01/10,8,3,92,30540
0,champagne-ardenne,2020/01/11,6,3,91,30660
0,champagne-ardenne,2020/01/12,7,3,92,30780
0,champagne-ardenne,2020/01/13,9,6,92,30900
0,champagne-ardenne,2020/01/14,9,8,79,31020
0,champagne-ardenne,2020/01/15,10,8,77,31140
0,champagne-ardenne,2020/01/16,11,5,97,31260
0,champagne-ardenne,2020/01/17,9,8,88,31440
0,champagne-ardenne,2020/01/18,6,3,90,31560
0,champagne-ardenne,2020/01/19,6,2,91,31680
0,champagne-ardenne,2020/01/20,5,1,-1,-1
0,champagne-ardenne,2020/01/21,4,0,-1,-1
0,champagne-ardenne,2020/01/22,5,1,-1,-1
0,champagne-ardenne,2020/01/23,5,0,-1,-1
0,champagne-ardenne,2020/01/24,5,-1,-1,-1
0,champagne-ardenne,2020/01/25,6,2,-1,-1
0,champagne-ardenne,2020/01/26,9,2,93,32820
0,champagne-ardenne,2020/01/27,8,7,91,32940
0,champagne-ardenne,2020/01/28,7,5,75,33120
0,champagne-ardenne,2020/01/29,8,4,87,33300
0,champagne-ardenne,2020/01/30,9,4,92,33420
0,champagne-ardenne,2020/01/31,12,11,91,33660
0,champagne-ardenne,2020/02/01,12,11,90,33840
0,champagne-ardenne,2020/02/02,13,12,93,34020
0,champagne-ardenne,2020/02/03,11,10,92,34200
0,champagne-ardenne,2020/02/04,7,5,80,34380
0,champagne-ardenne,2020/02/05,7,4,93,34560
0,champagne-ardenne,2020/02/06,7,2,83,34740
0,champagne-ardenne,2020/02/07,8,2,74,34980
0,champagne-ardenne,2020/02/08,11,7,88,35100
0,champagne-ardenne,2020/02/09,11,8,81,35340
0,champagne-ardenne,2020/02/10,12,7,83,35580
0,champagne-ardenne,2020/02/11,6,5,77,35700
0,champagne-ardenne,2020/02/12,7,4,86,35940
0,champagne-ardenne,2020/02/13,9,5,84,36120
0,champagne-ardenne,2020/02/14,10,6,94,36300
0,champagne-ardenne,2020/02/15,11,7,89,36540
0,champagne-ardenne,2020/02/16,14,12,70,36720
0,champagne-ardenne,2020/02/17,11,8,85,36900
0,champagne-ardenne,2020/02/18,9,5,81,37140
0,champagne-ardenne,2020/02/19,8,5,81,37320
0,champagne-ardenne,2020/02/20,9,8,81,37560
0,champagne-ardenne,2020/02/21,8,4,83,37800
0,champagne-ardenne,2020/02/22,10,5,83,37980
0,champagne-ardenne,2020/02/23,14,12,86,38160
