,region,date,tmax,tmin,wet,suntime
0,corse,2020/01/01,11,7,76,33060
0,corse,2020/01/02,12,8,76,33120
0,corse,2020/01/03,12,9,-1,-1
0,corse,2020/01/04,13,9,-1,-1
0,corse,2020/01/05,12,9,-1,-1
0,corse,2020/01/06,12,9,-1,-1
0,corse,2020/01/07,11,8,-1,-1
0,corse,2020/01/08,13,10,-1,-1
0,corse,2020/01/09,12,10,64,33540
0,corse,2020/01/10,13,11,72,33660
0,corse,2020/01/11,13,10,73,33720
0,corse,2020/01/12,12,10,70,33780
0,corse,2020/01/13,11,8,70,33840
0,corse,2020/01/14,12,9,74,33960
0,corse,2020/01/15,12,9,64,34020
0,corse,2020/01/16,12,9,-1,-1
0,corse,2020/01/17,13,10,-1,-1
0,corse,2020/01/18,11,8,-1,-1
0,corse,2020/01/19,11,7,-1,-1
0,corse,2020/01/20,11,7,-1,-1
0,corse,2020/01/21,14,9,-1,-1
0,corse,2020/01/22,15,11,-1,-1
0,corse,2020/01/23,14,10,-1,-1
0,corse,2020/01/24,14,10,-1,-1
0,corse,2020/01/25,12,8,-1,-1
0,corse,2020/01/26,13,9,-1,-1
0,corse,2020/01/27,14,10,-1,-1
0,corse,2020/01/28,13,11,-1,-1
0,corse,2020/01/29,12,10,-1,-1
0,corse,2020/01/30,13,10,-1,-1
0,corse,2020/01/31,15,14,-1,-1
0,corse,2020/02/01,15,13,-1,-1
0,corse,2020/02/02,16,13,-1,-1
0,corse,2020/02/03,18,15,-1,-1
0,corse,2020/02/04,15,11,75,36480
0,corse,2020/02/05,13,9,50,36660
0,corse,2020/02/06,12,8,73,36780
0,corse,2020/02/07,12,9,68,36900
0,corse,2020/02/08,13,10,-1,-1
0,corse,2020/02/09,13,11,-1,-1
0,corse,2020/02/10,14,11,-1,-1
0,corse,2020/02/11,14,12,-1,-1
0,corse,2020/02/12,14,11,-1,-1
0,corse,2020/02/13,13,11,-1,-1
0,corse,2020/02/14,13,11,-1,-1
0,corse,2020/02/15,14,11,-1,-1
0,corse,2020/02/16,14,11,79,38280
0,corse,2020/02/17,15,11,78,38460
0,corse,2020/02/18,14,10,76,38580
