,region,date,tmax,tmin,wet,suntime
0,franche-comte,2020/01/01,4,1,-1,-1
0,franche-comte,2020/01/02,6,2,88,30900
0,franche-comte,2020/01/03,7,4,93,30960
0,franche-comte,2020/01/04,6,5,94,31020
0,franche-comte,2020/01/05,5,2,91,31080
0,franche-comte,2020/01/06,7,2,-1,-1
0,franche-comte,2020/01/07,7,4,96,31200
0,franche-comte,2020/01/08,7,5,91,31260
0,franche-comte,2020/01/09,11,8,87,31440
0,franche-comte,2020/01/10,8,7,89,31500
0,franche-comte,2020/01/11,6,3,94,31620
0,franche-comte,2020/01/12,5,1,-1,-1
0,franche-comte,2020/01/13,7,4,-1,-1
0,franche-comte,2020/01/14,10,6,-1,-1
0,franche-comte,2020/01/15,10,7,-1,-1
0,franche-comte,2020/01/16,11,7,84,32160
0,franche-comte,2020/01/17,8,7,92,32280
0,franche-comte,2020/01/18,5,3,93,32400
0,franche-comte,2020/01/19,4,1,87,32520
0,franche-comte,2020/01/20,4,1,76,32640
0,franche-comte,2020/01/21,5,0,-1,-1
0,franche-comte,2020/01/22,6,0,-1,-1
0,franche-comte,2020/01/23,5,1,-1,-1
0,franche-comte,2020/01/24,8,4,-1,-1
0,franche-comte,2020/01/25,8,4,90,33420
0,franche-comte,2020/01/26,8,6,88,33540
0,franche-comte,2020/01/27,8,5,88,33720
0,franche-comte,2020/01/28,8,5,90,33840
0,franche-comte,2020/01/29,6,5,93,34020
0,franche-comte,2020/01/30,8,5,86,34140
0,franche-comte,2020/01/31,12,10,93,34320
0,franche-comte,2020/02/01,11,10,91,34500
0,franche-comte,2020/02/02,12,10,93,34680
0,franche-comte,2020/02/03,13,12,89,34800
0,franche-comte,2020/02/04,11,4,85,35040
0,franche-comte,2020/02/05,5,3,93,35220
0,franche-comte,2020/02/06,7,2,71,35340
0,franche-comte,2020/02/07,10,4,-1,-1
0,franche-comte,2020/02/08,11,5,-1,-1
0,franche-comte,2020/02/09,12,7,76,35940
0,franche-comte,2020/02/10,11,7,77,36060
0,franche-comte,2020/02/11,8,5,90,36300
0,franche-comte,2020/02/12,6,3,87,36420
0,franche-comte,2020/02/13,9,4,79,36660
0,franche-comte,2020/02/14,10,7,89,36780
0,franche-comte,2020/02/15,12,5,83,37020
0,franche-comte,2020/02/16,15,10,61,37140
0,franche-comte,2020/02/17,12,8,93,37380
0,franche-comte,2020/02/18,8,4,91,37560
0,franche-comte,2020/02/19,7,5,92,37740
0,franche-comte,2020/02/20,10,6,86,37920
0,franche-comte,2020/02/21,8,4,83,38160
0,franche-comte,2020/02/22,10,5,68,38340
0,franche-comte,2020/02/23,12,8,71,38520
0,franche-comte,2020/02/24,14,10,90,38700
0,franche-comte,2020/02/25,9,7,92,38940
0,franche-comte,2020/02/26,5,1,93,39120
0,franche-comte,2020/02/27,6,3,89,39360
0,franche-comte,2020/02/28,8,3,79,39540
0,franche-comte,2020/02/29,13,10,82,39720
0,franche-comte,2020/03/01,10,7,81,40020
