,region,date,tmax,tmin,wet,suntime
0,ile-de-france,2020/01/01,6,2,90,30000
0,ile-de-france,2020/01/02,9,7,97,30060
0,ile-de-france,2020/01/03,11,9,90,30120
0,ile-de-france,2020/01/04,8,6,78,30180
0,ile-de-france,2020/01/05,10,7,-1,-1
0,ile-de-france,2020/01/06,8,4,-1,-1
0,ile-de-france,2020/01/07,10,6,93,30480
0,ile-de-france,2020/01/08,11,10,95,30540
0,ile-de-france,2020/01/09,11,10,85,30660
0,ile-de-france,2020/01/10,10,8,79,30720
0,ile-de-france,2020/01/11,8,5,81,30900
0,ile-de-france,2020/01/12,8,6,90,30960
0,ile-de-france,2020/01/13,10,7,88,31080
0,ile-de-france,2020/01/14,10,7,74,31200
0,ile-de-france,2020/01/15,11,9,78,31320
0,ile-de-france,2020/01/16,12,7,92,31500
0,ile-de-france,2020/01/17,10,8,85,31560
0,ile-de-france,2020/01/18,8,5,80,31680
0,ile-de-france,2020/01/19,7,4,80,31860
0,ile-de-france,2020/01/20,7,3,-1,-1
0,ile-de-france,2020/01/21,8,3,-1,-1
0,ile-de-france,2020/01/22,7,3,-1,-1
0,ile-de-france,2020/01/23,8,3,-1,-1
0,ile-de-france,2020/01/24,8,3,-1,-1
0,ile-de-france,2020/01/25,8,3,-1,-1
0,ile-de-france,2020/01/26,10,5,92,32940
0,ile-de-france,2020/01/27,9,8,84,33060
0,ile-de-france,2020/01/28,9,6,70,33300
0,ile-de-france,2020/01/29,9,6,82,33480
0,ile-de-france,2020/01/30,11,6,95,33600
0,ile-de-france,2020/01/31,13,11,89,33780
0,ile-de-france,2020/02/01,14,12,91,33960
0,ile-de-france,2020/02/02,16,13,89,34140
0,ile-de-france,2020/02/03,13,11,78,34320
0,ile-de-france,2020/02/04,8,7,63,34500
0,ile-de-france,2020/02/05,9,6,86,34680
0,ile-de-france,2020/02/06,10,4,74,34920
0,ile-de-france,2020/02/07,10,5,71,35040
0,ile-de-france,2020/02/08,10,8,83,35280
0,ile-de-france,2020/02/09,12,9,76,35400
0,ile-de-france,2020/02/10,13,9,65,35640
0,ile-de-france,2020/02/11,8,7,61,35880
0,ile-de-france,2020/02/12,9,5,73,36000
0,ile-de-france,2020/02/13,10,8,79,36240
0,ile-de-france,2020/02/14,11,8,83,36420
0,ile-de-france,2020/02/15,13,8,86,36600
