,region,date,tmax,tmin,wet,suntime
0,ile-de-re,2020/01/01,12,11,93,31320
0,ile-de-re,2020/01/02,11,6,84,31380
0,ile-de-re,2020/01/03,12,11,89,31440
0,ile-de-re,2020/01/04,9,6,82,31500
0,ile-de-re,2020/01/05,9,5,-1,-1
0,ile-de-re,2020/01/06,10,6,85,31620
0,ile-de-re,2020/01/07,12,11,96,31680
0,ile-de-re,2020/01/08,12,11,92,31800
0,ile-de-re,2020/01/09,12,11,92,31860
0,ile-de-re,2020/01/10,11,9,76,31920
0,ile-de-re,2020/01/11,9,7,79,32100
0,ile-de-re,2020/01/12,11,10,95,32160
0,ile-de-re,2020/01/13,11,10,89,32280
0,ile-de-re,2020/01/14,12,8,83,32340
0,ile-de-re,2020/01/15,13,11,86,32520
0,ile-de-re,2020/01/16,13,9,81,32580
0,ile-de-re,2020/01/17,12,10,74,32700
0,ile-de-re,2020/01/18,9,8,79,32820
0,ile-de-re,2020/01/19,8,4,78,32940
0,ile-de-re,2020/01/20,7,4,-1,-1
0,ile-de-re,2020/01/21,7,2,-1,-1
0,ile-de-re,2020/01/22,8,4,69,33360
0,ile-de-re,2020/01/23,8,6,69,33480
0,ile-de-re,2020/01/24,11,8,91,33660
0,ile-de-re,2020/01/25,11,8,92,33720
0,ile-de-re,2020/01/26,11,9,91,33900
0,ile-de-re,2020/01/27,11,10,89,34080
0,ile-de-re,2020/01/28,10,10,76,34200
0,ile-de-re,2020/01/29,11,10,86,34380
0,ile-de-re,2020/01/30,12,11,92,34500
0,ile-de-re,2020/01/31,12,10,96,34680
0,ile-de-re,2020/02/01,12,12,94,34800
0,ile-de-re,2020/02/02,13,12,90,34980
0,ile-de-re,2020/02/03,13,12,91,35160
0,ile-de-re,2020/02/04,11,9,75,35340
0,ile-de-re,2020/02/05,10,5,84,35460
0,ile-de-re,2020/02/06,9,4,-1,-1
0,ile-de-re,2020/02/07,11,7,89,35820
0,ile-de-re,2020/02/08,10,9,90,36000
0,ile-de-re,2020/02/09,12,10,89,36180
0,ile-de-re,2020/02/10,13,11,83,36360
0,ile-de-re,2020/02/11,11,9,80,36540
0,ile-de-re,2020/02/12,10,9,76,36720
0,ile-de-re,2020/02/13,12,11,88,36900
0,ile-de-re,2020/02/14,12,11,89,37080
0,ile-de-re,2020/02/15,12,9,87,37260
0,ile-de-re,2020/02/16,14,13,81,37440
0,ile-de-re,2020/02/17,11,10,85,37620
0,ile-de-re,2020/02/18,11,10,77,37800
0,ile-de-re,2020/02/19,11,10,83,37980
0,ile-de-re,2020/02/20,11,9,89,38220
0,ile-de-re,2020/02/21,11,6,78,38340
0,ile-de-re,2020/02/22,11,9,88,38580
0,ile-de-re,2020/02/23,12,11,92,38760
0,ile-de-re,2020/02/24,11,10,90,38880
0,ile-de-re,2020/02/25,11,10,87,39120
0,ile-de-re,2020/02/26,9,6,78,39300
0,ile-de-re,2020/02/27,12,11,90,39480
0,ile-de-re,2020/02/28,12,10,92,39660
0,ile-de-re,2020/02/29,12,10,83,39900
0,ile-de-re,2020/03/01,10,6,86,40080
0,ile-de-re,2020/03/02,10,9,80,40320
0,ile-de-re,2020/03/03,9,6,89,40500
0,ile-de-re,2020/03/04,11,7,93,40740
0,ile-de-re,2020/03/05,13,10,86,40920
0,ile-de-re,2020/03/06,9,8,79,41100
0,ile-de-re,2020/03/07,11,8,87,41280
0,ile-de-re,2020/03/08,11,10,87,41460
0,ile-de-re,2020/03/09,11,9,80,41640
0,ile-de-re,2020/03/10,12,11,94,41880
0,ile-de-re,2020/03/11,12,8,96,42060
0,ile-de-re,2020/03/12,12,10,91,42300
0,ile-de-re,2020/03/13,11,9,76,42480
0,ile-de-re,2020/03/14,11,10,88,42660
0,ile-de-re,2020/03/15,12,8,85,42900
0,ile-de-re,2020/03/16,11,9,93,43080
0,ile-de-re,2020/03/17,14,11,85,43200
0,ile-de-re,2020/03/18,15,11,87,43440
0,ile-de-re,2020/03/19,17,12,-1,-1
0,ile-de-re,2020/03/20,16,11,-1,-1
0,ile-de-re,2020/03/21,15,11,-1,-1
0,ile-de-re,2020/03/22,13,8,-1,-1
0,ile-de-re,2020/03/23,15,10,-1,-1
0,ile-de-re,2020/03/24,13,9,-1,-1
0,ile-de-re,2020/03/25,12,6,-1,-1
0,ile-de-re,2020/03/26,10,5,-1,-1
0,ile-de-re,2020/03/27,12,6,-1,-1
0,ile-de-re,2020/03/28,12,8,78,45420
0,ile-de-re,2020/03/29,11,7,74,45540
0,ile-de-re,2020/03/30,8,3,66,45780
0,ile-de-re,2020/03/31,11,5,65,45960
0,ile-de-re,2020/04/01,13,7,73,46140
0,ile-de-re,2020/04/02,12,6,77,46380
0,ile-de-re,2020/04/03,11,7,86,46560
0,ile-de-re,2020/04/04,15,9,78,46740
0,ile-de-re,2020/04/05,16,11,75,46980
0,ile-de-re,2020/04/06,13,11,96,47160
0,ile-de-re,2020/04/07,16,12,85,47400
0,ile-de-re,2020/04/08,16,13,86,47520
0,ile-de-re,2020/04/09,18,14,-1,-1
0,ile-de-re,2020/04/10,19,13,-1,-1
0,ile-de-re,2020/04/11,18,13,69,48120
0,ile-de-re,2020/04/12,16,14,90,48300
0,ile-de-re,2020/04/13,17,12,85,48540
0,ile-de-re,2020/04/14,14,9,70,48720
0,ile-de-re,2020/04/15,18,10,78,48840
0,ile-de-re,2020/04/16,17,14,85,49080
0,ile-de-re,2020/04/17,16,14,90,49260
0,ile-de-re,2020/04/18,17,15,85,49440
0,ile-de-re,2020/04/19,17,14,94,49680
0,ile-de-re,2020/04/20,16,14,93,49800
0,ile-de-re,2020/04/21,17,14,91,49980
0,ile-de-re,2020/04/22,17,15,90,50220
0,ile-de-re,2020/04/23,16,14,91,50400
0,ile-de-re,2020/04/24,18,14,89,50520
0,ile-de-re,2020/04/25,19,15,88,50760
0,ile-de-re,2020/04/26,18,15,87,50940
0,ile-de-re,2020/04/27,15,11,91,51060
0,ile-de-re,2020/04/28,15,14,82,51300
0,ile-de-re,2020/04/29,14,10,86,51480
0,ile-de-re,2020/04/30,14,13,80,51600
0,ile-de-re,2020/05/01,15,13,92,51840
0,ile-de-re,2020/05/02,15,14,97,51960
0,ile-de-re,2020/05/03,16,15,96,52140
0,ile-de-re,2020/05/04,21,16,89,52320
0,ile-de-re,2020/05/05,18,15,83,52500
0,ile-de-re,2020/05/06,20,15,86,52620
0,ile-de-re,2020/05/07,20,15,88,52800
0,ile-de-re,2020/05/08,20,17,87,52980
0,ile-de-re,2020/05/09,19,17,90,53100
0,ile-de-re,2020/05/10,18,17,93,53280
0,ile-de-re,2020/05/11,16,4,92,53460
0,ile-de-re,2020/05/12,14,10,73,53580
0,ile-de-re,2020/05/13,12,11,-1,-1
0,ile-de-re,2020/05/14,15,10,-1,-1
0,ile-de-re,2020/05/15,15,11,-1,-1
0,ile-de-re,2020/05/16,17,12,-1,-1
0,ile-de-re,2020/05/17,19,14,-1,-1
0,ile-de-re,2020/05/18,18,14,-1,-1
0,ile-de-re,2020/05/19,20,16,-1,-1
0,ile-de-re,2020/05/20,22,17,-1,-1
0,ile-de-re,2020/05/21,21,19,-1,-1
0,ile-de-re,2020/05/22,19,17,88,54900
0,ile-de-re,2020/05/23,16,14,76,55020
0,ile-de-re,2020/05/24,18,13,77,55200
0,ile-de-re,2020/05/25,20,16,-1,-1
0,ile-de-re,2020/05/26,21,17,-1,-1
0,ile-de-re,2020/05/27,22,18,-1,-1
0,ile-de-re,2020/05/28,23,18,-1,-1
0,ile-de-re,2020/05/29,21,18,-1,-1
0,ile-de-re,2020/05/30,22,17,-1,-1
0,ile-de-re,2020/05/31,22,18,-1,-1
0,ile-de-re,2020/06/01,23,18,-1,-1
0,ile-de-re,2020/06/02,22,19,77,56040
0,ile-de-re,2020/06/03,20,17,79,56160
0,ile-de-re,2020/06/04,19,15,79,56220
0,ile-de-re,2020/06/05,17,16,84,56280
0,ile-de-re,2020/06/06,16,13,74,56340
0,ile-de-re,2020/06/07,16,13,78,56460
0,ile-de-re,2020/06/08,17,14,82,56460
0,ile-de-re,2020/06/09,18,14,80,56520
0,ile-de-re,2020/06/10,15,14,80,56580
0,ile-de-re,2020/06/11,15,14,92,56640
0,ile-de-re,2020/06/12,16,14,83,56700
0,ile-de-re,2020/06/13,17,16,84,56700
0,ile-de-re,2020/06/14,17,16,86,56760
0,ile-de-re,2020/06/15,18,16,87,56760
0,ile-de-re,2020/06/16,17,16,84,56820
0,ile-de-re,2020/06/17,17,16,85,56820
0,ile-de-re,2020/06/18,17,16,81,56820
0,ile-de-re,2020/06/19,18,16,80,56820
0,ile-de-re,2020/06/20,18,17,84,56880
0,ile-de-re,2020/06/21,18,12,91,56820
0,ile-de-re,2020/06/22,21,16,80,56820
0,ile-de-re,2020/06/23,24,19,-1,-1
0,ile-de-re,2020/06/24,28,22,77,56760
0,ile-de-re,2020/06/25,23,20,83,56760
0,ile-de-re,2020/06/26,20,18,87,56760
0,ile-de-re,2020/06/27,20,18,84,56700
0,ile-de-re,2020/06/28,19,12,90,56700
0,ile-de-re,2020/06/29,17,16,73,56640
0,ile-de-re,2020/06/30,19,18,88,56640
0,ile-de-re,2020/07/01,19,18,89,56580
0,ile-de-re,2020/07/02,18,17,76,56520
0,ile-de-re,2020/07/03,18,16,73,56460
0,ile-de-re,2020/07/04,18,17,79,56400
0,ile-de-re,2020/07/05,19,19,93,56340
0,ile-de-re,2020/07/06,18,15,79,56280
0,ile-de-re,2020/07/07,17,15,78,56220
0,ile-de-re,2020/07/08,20,17,-1,-1
0,ile-de-re,2020/07/09,20,19,84,56100
0,ile-de-re,2020/07/10,19,18,78,55980
0,ile-de-re,2020/07/11,20,16,73,55860
0,ile-de-re,2020/07/12,21,17,-1,-1
