,region,date,tmax,tmin,wet,suntime
0,languedoc-roussillon,2020/01/01,10,9,78,32400
0,languedoc-roussillon,2020/01/02,9,7,79,32460
0,languedoc-roussillon,2020/01/03,13,10,85,32460
0,languedoc-roussillon,2020/01/04,14,11,67,32520
0,languedoc-roussillon,2020/01/05,11,7,64,32580
0,languedoc-roussillon,2020/01/06,10,8,76,32640
0,languedoc-roussillon,2020/01/07,14,9,74,32700
0,languedoc-roussillon,2020/01/08,14,10,-1,-1
0,languedoc-roussillon,2020/01/09,12,8,-1,-1
0,languedoc-roussillon,2020/01/10,13,11,-1,-1
0,languedoc-roussillon,2020/01/11,11,8,-1,-1
0,languedoc-roussillon,2020/01/12,12,8,59,33120
0,languedoc-roussillon,2020/01/13,10,7,-1,-1
0,languedoc-roussillon,2020/01/14,13,11,-1,-1
0,languedoc-roussillon,2020/01/15,13,12,-1,-1
0,languedoc-roussillon,2020/01/16,12,9,-1,-1
0,languedoc-roussillon,2020/01/17,13,12,-1,-1
0,languedoc-roussillon,2020/01/18,11,7,-1,-1
0,languedoc-roussillon,2020/01/19,8,7,64,33840
0,languedoc-roussillon,2020/01/20,8,5,-1,-1
0,languedoc-roussillon,2020/01/21,10,6,-1,-1
0,languedoc-roussillon,2020/01/22,11,8,-1,-1
0,languedoc-roussillon,2020/01/23,13,9,-1,-1
0,languedoc-roussillon,2020/01/24,12,10,-1,-1
0,languedoc-roussillon,2020/01/25,12,10,-1,-1
0,languedoc-roussillon,2020/01/26,12,10,-1,-1
0,languedoc-roussillon,2020/01/27,11,8,-1,-1
0,languedoc-roussillon,2020/01/28,13,11,-1,-1
0,languedoc-roussillon,2020/01/29,13,11,-1,-1
0,languedoc-roussillon,2020/01/30,12,10,82,35280
0,languedoc-roussillon,2020/01/31,16,12,-1,-1
0,languedoc-roussillon,2020/02/01,15,11,-1,-1
0,languedoc-roussillon,2020/02/02,16,13,-1,-1
0,languedoc-roussillon,2020/02/03,19,15,66,35940
0,languedoc-roussillon,2020/02/04,14,11,64,36060
0,languedoc-roussillon,2020/02/05,13,8,59,36180
0,languedoc-roussillon,2020/02/06,11,7,-1,-1
0,languedoc-roussillon,2020/02/07,11,9,-1,-1
0,languedoc-roussillon,2020/02/08,12,11,-1,-1
0,languedoc-roussillon,2020/02/09,12,10,-1,-1
0,languedoc-roussillon,2020/02/10,16,12,-1,-1
0,languedoc-roussillon,2020/02/11,15,13,-1,-1
0,languedoc-roussillon,2020/02/12,15,9,61,37320
0,languedoc-roussillon,2020/02/13,11,8,79,37440
0,languedoc-roussillon,2020/02/14,16,11,65,37680
0,languedoc-roussillon,2020/02/15,13,10,-1,-1
0,languedoc-roussillon,2020/02/16,13,11,-1,-1
0,languedoc-roussillon,2020/02/17,14,13,-1,-1
0,languedoc-roussillon,2020/02/18,14,10,-1,-1
0,languedoc-roussillon,2020/02/19,14,10,65,38460
0,languedoc-roussillon,2020/02/20,13,10,69,38700
0,languedoc-roussillon,2020/02/21,16,12,67,38820
0,languedoc-roussillon,2020/02/22,16,11,59,39060
0,languedoc-roussillon,2020/02/23,20,13,55,39180
0,languedoc-roussillon,2020/02/24,18,14,62,39360
0,languedoc-roussillon,2020/02/25,15,11,-1,-1
0,languedoc-roussillon,2020/02/26,11,9,-1,-1
0,languedoc-roussillon,2020/02/27,13,9,-1,-1
0,languedoc-roussillon,2020/02/28,13,8,-1,-1
0,languedoc-roussillon,2020/02/29,15,13,-1,-1
0,languedoc-roussillon,2020/03/01,13,12,-1,-1
0,languedoc-roussillon,2020/03/02,13,11,-1,-1
0,languedoc-roussillon,2020/03/03,11,8,-1,-1
0,languedoc-roussillon,2020/03/04,13,9,-1,-1
0,languedoc-roussillon,2020/03/05,12,10,-1,-1
0,languedoc-roussillon,2020/03/06,11,9,-1,-1
0,languedoc-roussillon,2020/03/07,14,10,-1,-1
0,languedoc-roussillon,2020/03/08,13,9,68,41700
0,languedoc-roussillon,2020/03/09,14,11,60,41820
0,languedoc-roussillon,2020/03/10,15,12,68,42000
0,languedoc-roussillon,2020/03/11,21,14,-1,-1
0,languedoc-roussillon,2020/03/12,17,14,-1,-1
0,languedoc-roussillon,2020/03/13,16,13,-1,-1
0,languedoc-roussillon,2020/03/14,17,11,-1,-1
0,languedoc-roussillon,2020/03/15,14,11,75,42900
0,languedoc-roussillon,2020/03/16,14,13,71,43140
0,languedoc-roussillon,2020/03/17,16,12,64,43260
0,languedoc-roussillon,2020/03/18,17,14,72,43440
0,languedoc-roussillon,2020/03/19,17,14,67,43620
0,languedoc-roussillon,2020/03/20,15,12,73,43800
0,languedoc-roussillon,2020/03/21,15,12,70,43980
0,languedoc-roussillon,2020/03/22,15,12,-1,-1
0,languedoc-roussillon,2020/03/23,14,12,-1,-1
0,languedoc-roussillon,2020/03/24,11,8,-1,-1
0,languedoc-roussillon,2020/03/25,11,7,-1,-1
0,languedoc-roussillon,2020/03/26,12,7,-1,-1
0,languedoc-roussillon,2020/03/27,13,10,-1,-1
