,region,date,tmax,tmin,wet,suntime
0,limousin,2020/01/01,8,5,94,31500
0,limousin,2020/01/02,9,6,95,31560
0,limousin,2020/01/03,7,6,96,31620
0,limousin,2020/01/04,8,4,96,31680
0,limousin,2020/01/05,6,3,84,31740
0,limousin,2020/01/06,9,3,89,31800
0,limousin,2020/01/07,8,5,95,31860
0,limousin,2020/01/08,9,8,98,31980
0,limousin,2020/01/09,9,8,90,32040
0,limousin,2020/01/10,7,5,95,32100
0,limousin,2020/01/11,7,2,92,32220
0,limousin,2020/01/12,6,1,93,32340
0,limousin,2020/01/13,8,4,92,32400
0,limousin,2020/01/14,8,5,77,32520
0,limousin,2020/01/15,10,8,80,32580
0,limousin,2020/01/16,12,7,84,32760
0,limousin,2020/01/17,8,5,93,32880
0,limousin,2020/01/18,7,2,95,32940
0,limousin,2020/01/19,4,2,78,33120
0,limousin,2020/01/20,4,1,71,33240
0,limousin,2020/01/21,10,1,-1,-1
0,limousin,2020/01/22,12,4,70,33480
0,limousin,2020/01/23,11,8,72,33600
0,limousin,2020/01/24,12,7,93,33720
0,limousin,2020/01/25,11,6,91,33900
0,limousin,2020/01/26,9,6,96,34020
0,limousin,2020/01/27,6,5,95,34200
0,limousin,2020/01/28,7,6,91,34320
0,limousin,2020/01/29,9,7,95,34500
0,limousin,2020/01/30,10,8,98,34620
0,limousin,2020/01/31,12,10,98,34740
0,limousin,2020/02/01,11,10,96,34980
0,limousin,2020/02/02,12,10,96,35100
0,limousin,2020/02/03,14,10,94,35280
0,limousin,2020/02/04,10,4,91,35400
0,limousin,2020/02/05,5,2,95,35640
0,limousin,2020/02/06,11,3,-1,-1
0,limousin,2020/02/07,10,5,85,35940
0,limousin,2020/02/08,10,5,87,36120
0,limousin,2020/02/09,11,7,93,36240
0,limousin,2020/02/10,11,9,91,36420
0,limousin,2020/02/11,8,5,92,36600
0,limousin,2020/02/12,9,5,91,36780
0,limousin,2020/02/13,10,7,93,36960
0,limousin,2020/02/14,10,6,94,37140
0,limousin,2020/02/15,12,6,85,37320
0,limousin,2020/02/16,14,9,79,37500
0,limousin,2020/02/17,10,7,96,37680
0,limousin,2020/02/18,8,4,94,37860
0,limousin,2020/02/19,9,6,95,38040
0,limousin,2020/02/20,11,5,96,38220
0,limousin,2020/02/21,12,5,84,38400
0,limousin,2020/02/22,13,5,79,38580
0,limousin,2020/02/23,13,6,-1,-1
0,limousin,2020/02/24,14,7,91,38940
0,limousin,2020/02/25,8,6,96,39180
0,limousin,2020/02/26,6,2,90,39360
0,limousin,2020/02/27,10,7,97,39540
0,limousin,2020/02/28,8,3,93,39720
0,limousin,2020/02/29,9,7,92,39900
0,limousin,2020/03/01,7,6,95,40140
0,limousin,2020/03/02,7,4,97,40380
0,limousin,2020/03/03,4,1,98,40560
0,limousin,2020/03/04,5,3,97,40740
0,limousin,2020/03/05,10,7,97,40920
0,limousin,2020/03/06,4,1,98,41100
0,limousin,2020/03/07,8,3,95,41340
0,limousin,2020/03/08,9,6,94,41520
0,limousin,2020/03/09,9,5,92,41700
0,limousin,2020/03/10,10,8,98,41940
0,limousin,2020/03/11,12,10,98,42120
0,limousin,2020/03/12,11,10,92,42240
0,limousin,2020/03/13,11,5,80,42480
0,limousin,2020/03/14,11,5,-1,-1
0,limousin,2020/03/15,15,7,78,42840
0,limousin,2020/03/16,11,9,96,43080
0,limousin,2020/03/17,14,10,84,43260
0,limousin,2020/03/18,20,11,85,43440
0,limousin,2020/03/19,20,13,-1,-1
0,limousin,2020/03/20,19,13,59,43860
0,limousin,2020/03/21,18,11,78,43980
0,limousin,2020/03/22,16,11,87,44160
0,limousin,2020/03/23,17,10,80,44400
0,limousin,2020/03/24,15,8,86,44580
0,limousin,2020/03/25,13,7,-1,-1
0,limousin,2020/03/26,10,3,-1,-1
