,region,date,tmax,tmin,wet,suntime
0,lorraine,2020/01/01,2,0,90,29820
0,lorraine,2020/01/02,4,2,88,29880
0,lorraine,2020/01/03,7,4,93,29940
0,lorraine,2020/01/04,5,2,91,30120
0,lorraine,2020/01/05,5,2,93,30180
0,lorraine,2020/01/06,5,1,93,30240
0,lorraine,2020/01/07,5,4,97,30300
0,lorraine,2020/01/08,7,5,96,30420
0,lorraine,2020/01/09,8,2,89,30480
0,lorraine,2020/01/10,8,4,88,30600
0,lorraine,2020/01/11,5,2,92,30720
0,lorraine,2020/01/12,5,1,90,30780
0,lorraine,2020/01/13,7,4,92,30960
0,lorraine,2020/01/14,8,6,73,31080
0,lorraine,2020/01/15,10,7,81,31200
0,lorraine,2020/01/16,10,6,92,31320
0,lorraine,2020/01/17,8,4,91,31500
0,lorraine,2020/01/18,4,3,91,31620
0,lorraine,2020/01/19,4,1,88,31740
0,lorraine,2020/01/20,4,1,88,31860
0,lorraine,2020/01/21,3,0,-1,-1
0,lorraine,2020/01/22,4,-1,3,-1
0,lorraine,2020/01/23,4,-1,1,-1
0,lorraine,2020/01/24,5,0,-1,-1
0,lorraine,2020/01/25,5,2,-1,-1
0,lorraine,2020/01/26,7,2,91,32880
0,lorraine,2020/01/27,6,5,90,33000
0,lorraine,2020/01/28,7,5,82,33180
0,lorraine,2020/01/29,5,3,89,33300
0,lorraine,2020/01/30,7,3,92,33480
0,lorraine,2020/01/31,12,11,93,33720
0,lorraine,2020/02/01,11,10,92,33840
0,lorraine,2020/02/02,13,10,91,34020
0,lorraine,2020/02/03,10,7,93,34260
0,lorraine,2020/02/04,6,4,81,34380
0,lorraine,2020/02/05,6,2,87,34620
0,lorraine,2020/02/06,7,2,71,34800
0,lorraine,2020/02/07,6,1,-1,-1
0,lorraine,2020/02/08,8,4,85,35160
0,lorraine,2020/02/09,11,7,86,35400
0,lorraine,2020/02/10,11,6,78,35520
0,lorraine,2020/02/11,6,4,85,35760
0,lorraine,2020/02/12,5,3,89,36000
0,lorraine,2020/02/13,7,4,84,36120
0,lorraine,2020/02/14,8,5,91,36360
0,lorraine,2020/02/15,10,5,88,36600
0,lorraine,2020/02/16,14,11,66,36720
0,lorraine,2020/02/17,11,7,89,36960
0,lorraine,2020/02/18,7,4,87,37200
0,lorraine,2020/02/19,6,4,84,37380
0,lorraine,2020/02/20,8,7,87,37620
0,lorraine,2020/02/21,7,3,85,37740
0,lorraine,2020/02/22,9,4,81,37980
0,lorraine,2020/02/23,12,9,91,38220
0,lorraine,2020/02/24,11,10,94,38400
0,lorraine,2020/02/25,9,6,92,38640
0,lorraine,2020/02/26,3,1,89,38820
0,lorraine,2020/02/27,6,2,94,39060
0,lorraine,2020/02/28,6,1,87,39300
0,lorraine,2020/02/29,12,6,85,39480
0,lorraine,2020/03/01,9,6,83,39720
0,lorraine,2020/03/02,6,5,95,39960
0,lorraine,2020/03/03,6,2,90,40140
0,lorraine,2020/03/04,7,3,90,40380
0,lorraine,2020/03/05,8,6,95,40620
0,lorraine,2020/03/06,6,5,94,40800
0,lorraine,2020/03/07,8,3,90,41040
0,lorraine,2020/03/08,9,5,86,41220
0,lorraine,2020/03/09,8,4,91,41460
0,lorraine,2020/03/10,10,7,95,41700
0,lorraine,2020/03/11,14,11,93,41880
0,lorraine,2020/03/12,10,8,87,42180
0,lorraine,2020/03/13,8,5,85,42360
0,lorraine,2020/03/14,9,6,80,42600
0,lorraine,2020/03/15,13,7,77,42780
0,lorraine,2020/03/16,15,9,-1,-1
0,lorraine,2020/03/17,14,10,91,43200
0,lorraine,2020/03/18,15,10,85,43440
0,lorraine,2020/03/19,16,11,76,43620
0,lorraine,2020/03/20,16,11,75,43860
0,lorraine,2020/03/21,8,4,91,44040
0,lorraine,2020/03/22,8,3,65,44280
0,lorraine,2020/03/23,7,1,-1,-1
0,lorraine,2020/03/24,7,2,-1,-1
0,lorraine,2020/03/25,7,2,-1,-1
0,lorraine,2020/03/26,8,2,-1,-1
0,lorraine,2020/03/27,11,5,75,45360
0,lorraine,2020/03/28,15,9,83,45600
0,lorraine,2020/03/29,6,4,65,45780
0,lorraine,2020/03/30,7,1,50,46080
0,lorraine,2020/03/31,8,4,-1,-1
0,lorraine,2020/04/01,9,3,-1,-1
0,lorraine,2020/04/02,11,5,69,46680
0,lorraine,2020/04/03,11,6,80,46920
0,lorraine,2020/04/04,13,7,72,47100
0,lorraine,2020/04/05,17,9,-1,-1
0,lorraine,2020/04/06,18,12,-1,-1
0,lorraine,2020/04/07,20,14,-1,-1
0,lorraine,2020/04/08,20,13,-1,-1
0,lorraine,2020/04/09,21,16,-1,-1
0,lorraine,2020/04/10,21,15,-1,-1
0,lorraine,2020/04/11,21,14,75,48660
0,lorraine,2020/04/12,20,15,66,48840
0,lorraine,2020/04/13,15,13,76,49080
0,lorraine,2020/04/14,10,5,60,49260
0,lorraine,2020/04/15,15,7,-1,-1
0,lorraine,2020/04/16,19,13,74,49680
0,lorraine,2020/04/17,21,15,74,49920
0,lorraine,2020/04/18,18,14,90,50100
0,lorraine,2020/04/19,19,14,80,50340
0,lorraine,2020/04/20,15,11,-1,-1
0,lorraine,2020/04/21,17,11,-1,-1
0,lorraine,2020/04/22,18,12,-1,-1
0,lorraine,2020/04/23,19,13,-1,-1
0,lorraine,2020/04/24,20,15,-1,-1
0,lorraine,2020/04/25,18,13,-1,-1
0,lorraine,2020/04/26,18,12,-1,-1
0,lorraine,2020/04/27,18,13,68,51960
0,lorraine,2020/04/28,15,12,95,52140
0,lorraine,2020/04/29,12,10,85,52320
0,lorraine,2020/04/30,13,6,89,52560
0,lorraine,2020/05/01,11,4,93,52740
0,lorraine,2020/05/02,12,5,92,52920
0,lorraine,2020/05/03,15,6,88,53100
0,lorraine,2020/05/04,17,10,97,53280
0,lorraine,2020/05/05,15,8,74,53460
0,lorraine,2020/05/06,15,7,-1,-1
0,lorraine,2020/05/07,18,7,71,53820
0,lorraine,2020/05/08,20,11,81,54000
0,lorraine,2020/05/09,19,14,92,54180
0,lorraine,2020/05/10,20,13,90,54360
0,lorraine,2020/05/11,14,1,94,54540
0,lorraine,2020/05/12,12,2,83,54720
0,lorraine,2020/05/13,14,5,74,54840
0,lorraine,2020/05/14,13,6,85,55020
0,lorraine,2020/05/15,15,6,76,55200
0,lorraine,2020/05/16,16,7,-1,-1
0,lorraine,2020/05/17,19,8,-1,-1
0,lorraine,2020/05/18,19,10,-1,-1
0,lorraine,2020/05/19,21,12,87,55800
0,lorraine,2020/05/20,22,14,90,55980
0,lorraine,2020/05/21,23,14,91,56100
0,lorraine,2020/05/22,23,16,90,56220
0,lorraine,2020/05/23,16,10,95,56340
0,lorraine,2020/05/24,16,8,92,56520
0,lorraine,2020/05/25,19,11,90,56640
0,lorraine,2020/05/26,19,11,88,56760
0,lorraine,2020/05/27,20,11,-1,-1
0,lorraine,2020/05/28,19,12,-1,-1
0,lorraine,2020/05/29,19,10,-1,-1
0,lorraine,2020/05/30,19,11,-1,-1
0,lorraine,2020/05/31,18,10,77,57300
0,lorraine,2020/06/01,22,12,80,57420
0,lorraine,2020/06/02,24,14,83,57480
0,lorraine,2020/06/03,22,16,85,57600
0,lorraine,2020/06/04,17,12,94,57720
0,lorraine,2020/06/05,12,9,94,57780
0,lorraine,2020/06/06,16,11,96,57900
0,lorraine,2020/06/07,16,9,89,57960
0,lorraine,2020/06/08,18,10,86,57960
0,lorraine,2020/06/09,17,11,91,58080
0,lorraine,2020/06/10,17,12,94,58140
0,lorraine,2020/06/11,18,13,90,58140
0,lorraine,2020/06/12,22,13,91,58260
0,lorraine,2020/06/13,21,15,89,58260
0,lorraine,2020/06/14,19,13,91,58320
0,lorraine,2020/06/15,20,13,93,58320
0,lorraine,2020/06/16,20,13,94,58380
0,lorraine,2020/06/17,14,7,96,58380
0,lorraine,2020/06/18,17,12,94,58440
0,lorraine,2020/06/19,19,12,94,58440
0,lorraine,2020/06/20,21,12,90,58380
0,lorraine,2020/06/21,22,14,86,58380
0,lorraine,2020/06/22,21,13,86,58380
0,lorraine,2020/06/23,24,14,82,58380
0,lorraine,2020/06/24,25,16,-1,-1
0,lorraine,2020/06/25,25,16,82,58380
0,lorraine,2020/06/26,25,17,91,58380
0,lorraine,2020/06/27,23,18,95,58260
0,lorraine,2020/06/28,18,14,92,58260
0,lorraine,2020/06/29,20,13,91,58200
0,lorraine,2020/06/30,19,13,91,58140
0,lorraine,2020/07/01,23,16,90,58140
0,lorraine,2020/07/02,19,16,93,58020
0,lorraine,2020/07/03,20,12,92,58020
0,lorraine,2020/07/04,20,13,90,57960
0,lorraine,2020/07/05,21,17,95,57840
0,lorraine,2020/07/06,17,11,87,57780
