,region,date,tmax,tmin,wet,suntime
0,midi-pyrenees,2020/01/01,10,8,-1,-1
0,midi-pyrenees,2020/01/02,10,5,86,32520
0,midi-pyrenees,2020/01/03,10,7,83,32580
0,midi-pyrenees,2020/01/04,10,8,93,32640
0,midi-pyrenees,2020/01/05,9,4,84,32700
0,midi-pyrenees,2020/01/06,12,5,-1,-1
0,midi-pyrenees,2020/01/07,11,7,-1,-1
0,midi-pyrenees,2020/01/08,12,8,86,32880
0,midi-pyrenees,2020/01/09,12,8,87,32940
0,midi-pyrenees,2020/01/10,11,8,85,33000
0,midi-pyrenees,2020/01/11,9,4,86,33120
0,midi-pyrenees,2020/01/12,8,4,-1,-1
0,midi-pyrenees,2020/01/13,8,3,-1,-1
0,midi-pyrenees,2020/01/14,11,6,-1,-1
0,midi-pyrenees,2020/01/15,12,6,-1,-1
0,midi-pyrenees,2020/01/16,12,8,87,33600
0,midi-pyrenees,2020/01/17,10,8,85,33660
0,midi-pyrenees,2020/01/18,9,5,88,33780
0,midi-pyrenees,2020/01/19,8,4,67,33960
0,midi-pyrenees,2020/01/20,7,2,73,34020
0,midi-pyrenees,2020/01/21,9,5,84,34140
0,midi-pyrenees,2020/01/22,11,9,85,34260
0,midi-pyrenees,2020/01/23,13,11,81,34380
0,midi-pyrenees,2020/01/24,13,7,87,34500
0,midi-pyrenees,2020/01/25,12,7,91,34620
0,midi-pyrenees,2020/01/26,10,7,86,34800
0,midi-pyrenees,2020/01/27,12,6,80,34920
0,midi-pyrenees,2020/01/28,12,10,85,35040
0,midi-pyrenees,2020/01/29,13,7,84,35220
0,midi-pyrenees,2020/01/30,13,9,95,35340
0,midi-pyrenees,2020/01/31,15,11,95,35460
0,midi-pyrenees,2020/02/01,16,10,89,35640
0,midi-pyrenees,2020/02/02,19,13,75,35760
0,midi-pyrenees,2020/02/03,22,14,71,35880
0,midi-pyrenees,2020/02/04,13,9,81,36060
0,midi-pyrenees,2020/02/05,10,6,82,36180
0,midi-pyrenees,2020/02/06,11,4,-1,-1
0,midi-pyrenees,2020/02/07,12,7,-1,-1
0,midi-pyrenees,2020/02/08,13,8,-1,-1
0,midi-pyrenees,2020/02/09,14,9,88,36780
0,midi-pyrenees,2020/02/10,15,13,79,36960
0,midi-pyrenees,2020/02/11,13,12,80,37140
0,midi-pyrenees,2020/02/12,12,8,87,37260
0,midi-pyrenees,2020/02/13,13,8,77,37440
0,midi-pyrenees,2020/02/14,14,10,-1,-1
0,midi-pyrenees,2020/02/15,15,8,-1,-1
0,midi-pyrenees,2020/02/16,16,11,83,37980
0,midi-pyrenees,2020/02/17,12,10,84,38100
0,midi-pyrenees,2020/02/18,11,7,83,38280
0,midi-pyrenees,2020/02/19,13,7,82,38460
0,midi-pyrenees,2020/02/20,17,8,-1,-1
0,midi-pyrenees,2020/02/21,13,8,-1,-1
0,midi-pyrenees,2020/02/22,15,8,-1,-1
0,midi-pyrenees,2020/02/23,17,11,-1,-1
0,midi-pyrenees,2020/02/24,20,11,78,39300
0,midi-pyrenees,2020/02/25,13,10,86,39480
0,midi-pyrenees,2020/02/26,8,7,76,39660
0,midi-pyrenees,2020/02/27,10,7,87,39840
0,midi-pyrenees,2020/02/28,15,8,92,40020
0,midi-pyrenees,2020/02/29,14,10,85,40200
0,midi-pyrenees,2020/03/01,14,10,84,40440
0,midi-pyrenees,2020/03/02,11,8,84,40620
0,midi-pyrenees,2020/03/03,7,6,93,40740
0,midi-pyrenees,2020/03/04,8,5,96,40920
0,midi-pyrenees,2020/03/05,11,10,85,41160
0,midi-pyrenees,2020/03/06,8,7,80,41340
0,midi-pyrenees,2020/03/07,11,6,81,41460
0,midi-pyrenees,2020/03/08,14,8,88,41640
0,midi-pyrenees,2020/03/09,11,9,78,41880
0,midi-pyrenees,2020/03/10,15,9,84,42000
0,midi-pyrenees,2020/03/11,18,12,83,42180
0,midi-pyrenees,2020/03/12,16,12,81,42360
0,midi-pyrenees,2020/03/13,12,9,76,42600
0,midi-pyrenees,2020/03/14,14,8,76,42720
0,midi-pyrenees,2020/03/15,15,9,74,42900
0,midi-pyrenees,2020/03/16,13,10,92,43080
0,midi-pyrenees,2020/03/17,16,11,86,43260
0,midi-pyrenees,2020/03/18,20,12,80,43500
0,midi-pyrenees,2020/03/19,19,12,-1,-1
0,midi-pyrenees,2020/03/20,17,11,-1,-1
0,midi-pyrenees,2020/03/21,17,11,72,43980
0,midi-pyrenees,2020/03/22,17,11,82,44160
0,midi-pyrenees,2020/03/23,16,11,80,44280
0,midi-pyrenees,2020/03/24,15,10,74,44520
0,midi-pyrenees,2020/03/25,14,9,55,44700
0,midi-pyrenees,2020/03/26,8,5,86,44880
0,midi-pyrenees,2020/03/27,13,6,79,45000
0,midi-pyrenees,2020/03/28,16,9,68,45180
0,midi-pyrenees,2020/03/29,12,8,85,45420
0,midi-pyrenees,2020/03/30,7,4,79,45600
0,midi-pyrenees,2020/03/31,14,5,77,45780
0,midi-pyrenees,2020/04/01,14,11,71,45900
0,midi-pyrenees,2020/04/02,14,9,75,46080
0,midi-pyrenees,2020/04/03,13,8,72,46320
0,midi-pyrenees,2020/04/04,18,10,68,46500
0,midi-pyrenees,2020/04/05,18,12,-1,-1
0,midi-pyrenees,2020/04/06,18,12,58,46800
0,midi-pyrenees,2020/04/07,18,13,62,46980
0,midi-pyrenees,2020/04/08,19,13,71,47160
0,midi-pyrenees,2020/04/09,21,13,62,47400
0,midi-pyrenees,2020/04/10,22,14,-1,-1
0,midi-pyrenees,2020/04/11,21,14,71,47700
0,midi-pyrenees,2020/04/12,18,13,81,47880
0,midi-pyrenees,2020/04/13,17,13,79,48000
0,midi-pyrenees,2020/04/14,22,14,74,48240
0,midi-pyrenees,2020/04/15,19,14,67,48420
0,midi-pyrenees,2020/04/16,20,14,-1,-1
0,midi-pyrenees,2020/04/17,19,15,77,48720
0,midi-pyrenees,2020/04/18,21,16,83,48900
