,region,date,tmax,tmin,wet,suntime
0,nord-pas-de-calais,2020/01/01,3,1,-1,-1
0,nord-pas-de-calais,2020/01/02,7,3,96,29280
0,nord-pas-de-calais,2020/01/03,10,9,90,29340
0,nord-pas-de-calais,2020/01/04,7,4,87,29460
0,nord-pas-de-calais,2020/01/05,7,4,93,29520
0,nord-pas-de-calais,2020/01/06,6,2,91,29580
0,nord-pas-de-calais,2020/01/07,8,5,97,29760
0,nord-pas-de-calais,2020/01/08,11,10,95,29820
0,nord-pas-de-calais,2020/01/09,12,10,90,29880
0,nord-pas-de-calais,2020/01/10,8,7,87,30060
0,nord-pas-de-calais,2020/01/11,6,3,88,30120
0,nord-pas-de-calais,2020/01/12,10,6,90,30240
0,nord-pas-de-calais,2020/01/13,8,5,94,30420
0,nord-pas-de-calais,2020/01/14,10,9,85,30480
0,nord-pas-de-calais,2020/01/15,9,5,83,30660
0,nord-pas-de-calais,2020/01/16,10,5,93,30780
0,nord-pas-de-calais,2020/01/17,10,9,89,30960
0,nord-pas-de-calais,2020/01/18,7,3,90,31020
0,nord-pas-de-calais,2020/01/19,7,3,84,31200
0,nord-pas-de-calais,2020/01/20,6,2,95,31320
0,nord-pas-de-calais,2020/01/21,5,3,-1,-1
0,nord-pas-de-calais,2020/01/22,5,1,-1,-1
0,nord-pas-de-calais,2020/01/23,5,1,-1,-1
0,nord-pas-de-calais,2020/01/24,7,0,-1,-1
0,nord-pas-de-calais,2020/01/25,6,1,84,32220
0,nord-pas-de-calais,2020/01/26,8,3,95,32340
0,nord-pas-de-calais,2020/01/27,9,8,94,32520
0,nord-pas-de-calais,2020/01/28,6,5,69,32760
0,nord-pas-de-calais,2020/01/29,8,4,83,32880
0,nord-pas-de-calais,2020/01/30,9,5,93,33060
0,nord-pas-de-calais,2020/01/31,12,10,88,33300
0,nord-pas-de-calais,2020/02/01,12,9,90,33420
0,nord-pas-de-calais,2020/02/02,12,11,93,33600
0,nord-pas-de-calais,2020/02/03,11,9,86,33840
0,nord-pas-de-calais,2020/02/04,6,4,79,34020
0,nord-pas-de-calais,2020/02/05,9,5,89,34200
0,nord-pas-de-calais,2020/02/06,8,4,84,34440
0,nord-pas-de-calais,2020/02/07,8,2,76,34620
0,nord-pas-de-calais,2020/02/08,8,7,93,34860
0,nord-pas-de-calais,2020/02/09,12,8,82,34980
0,nord-pas-de-calais,2020/02/10,9,7,81,35220
0,nord-pas-de-calais,2020/02/11,6,4,67,35460
0,nord-pas-de-calais,2020/02/12,7,5,79,35640
0,nord-pas-de-calais,2020/02/13,9,5,88,35820
0,nord-pas-de-calais,2020/02/14,10,5,91,36060
0,nord-pas-de-calais,2020/02/15,12,8,90,36300
0,nord-pas-de-calais,2020/02/16,15,13,81,36480
0,nord-pas-de-calais,2020/02/17,8,7,77,36660
0,nord-pas-de-calais,2020/02/18,9,5,85,36900
0,nord-pas-de-calais,2020/02/19,8,4,80,37080
0,nord-pas-de-calais,2020/02/20,9,7,83,37320
0,nord-pas-de-calais,2020/02/21,8,4,83,37560
0,nord-pas-de-calais,2020/02/22,11,6,80,37800
0,nord-pas-de-calais,2020/02/23,13,12,83,37980
0,nord-pas-de-calais,2020/02/24,12,10,90,38220
0,nord-pas-de-calais,2020/02/25,10,6,78,38460
0,nord-pas-de-calais,2020/02/26,6,3,74,38640
0,nord-pas-de-calais,2020/02/27,3,1,99,38880
0,nord-pas-de-calais,2020/02/28,5,3,91,39120
0,nord-pas-de-calais,2020/02/29,9,6,82,39300
0,nord-pas-de-calais,2020/03/01,9,5,76,39600
0,nord-pas-de-calais,2020/03/02,6,5,93,39840
0,nord-pas-de-calais,2020/03/03,7,3,88,40080
0,nord-pas-de-calais,2020/03/04,8,5,88,40320
0,nord-pas-de-calais,2020/03/05,7,7,96,40500
0,nord-pas-de-calais,2020/03/06,7,5,84,40740
0,nord-pas-de-calais,2020/03/07,10,5,82,40980
0,nord-pas-de-calais,2020/03/08,10,7,87,41160
0,nord-pas-de-calais,2020/03/09,10,6,81,41400
0,nord-pas-de-calais,2020/03/10,13,11,93,41640
0,nord-pas-de-calais,2020/03/11,12,11,86,41880
0,nord-pas-de-calais,2020/03/12,12,6,69,42120
0,nord-pas-de-calais,2020/03/13,10,7,73,42300
0,nord-pas-de-calais,2020/03/14,8,6,87,42540
0,nord-pas-de-calais,2020/03/15,11,7,87,42780
0,nord-pas-de-calais,2020/03/16,12,8,87,42960
0,nord-pas-de-calais,2020/03/17,13,6,72,43200
0,nord-pas-de-calais,2020/03/18,15,10,-1,-1
0,nord-pas-de-calais,2020/03/19,11,10,79,43680
0,nord-pas-de-calais,2020/03/20,10,6,86,43860
0,nord-pas-de-calais,2020/03/21,9,5,80,44100
0,nord-pas-de-calais,2020/03/22,10,3,64,44340
0,nord-pas-de-calais,2020/03/23,10,2,-1,-1
0,nord-pas-de-calais,2020/03/24,10,3,-1,-1
0,nord-pas-de-calais,2020/03/25,10,3,-1,-1
