,region,date,tmax,tmin,wet,suntime
0,normandie,2020/01/01,8,5,96,29880
0,normandie,2020/01/02,10,7,93,29940
0,normandie,2020/01/03,11,8,89,30000
0,normandie,2020/01/04,8,4,92,30060
0,normandie,2020/01/05,9,7,85,30120
0,normandie,2020/01/06,7,2,90,30180
0,normandie,2020/01/07,12,6,95,30300
0,normandie,2020/01/08,13,12,94,30360
0,normandie,2020/01/09,13,10,88,30480
0,normandie,2020/01/10,8,6,85,30600
0,normandie,2020/01/11,8,4,88,30660
0,normandie,2020/01/12,11,8,89,30840
0,normandie,2020/01/13,11,7,92,30900
0,normandie,2020/01/14,12,11,92,31020
0,normandie,2020/01/15,11,7,90,31200
0,normandie,2020/01/16,12,7,88,31260
0,normandie,2020/01/17,10,6,84,31440
0,normandie,2020/01/18,8,4,92,31560
0,normandie,2020/01/19,7,4,86,31740
0,normandie,2020/01/20,6,3,90,31860
0,normandie,2020/01/21,5,1,90,32040
0,normandie,2020/01/22,5,1,-1,-1
0,normandie,2020/01/23,6,0,-1,-1
0,normandie,2020/01/24,5,0,-1,-1
0,normandie,2020/01/25,9,3,96,32640
0,normandie,2020/01/26,9,5,94,32820
0,normandie,2020/01/27,8,7,93,32940
0,normandie,2020/01/28,7,4,80,33180
0,normandie,2020/01/29,9,5,89,33300
0,normandie,2020/01/30,13,10,93,33480
0,normandie,2020/01/31,12,10,92,33660
0,normandie,2020/02/01,12,9,92,33840
0,normandie,2020/02/02,13,11,92,34020
0,normandie,2020/02/03,11,9,92,34260
0,normandie,2020/02/04,8,6,78,34380
0,normandie,2020/02/05,8,6,90,34620
0,normandie,2020/02/06,8,2,88,34740
0,normandie,2020/02/07,9,2,87,34980
0,normandie,2020/02/08,10,7,92,35160
0,normandie,2020/02/09,15,10,81,35340
0,normandie,2020/02/10,11,8,79,35520
0,normandie,2020/02/11,7,5,74,35760
0,normandie,2020/02/12,8,5,86,35940
0,normandie,2020/02/13,9,8,81,36120
0,normandie,2020/02/14,11,7,93,36360
0,normandie,2020/02/15,13,11,87,36540
0,normandie,2020/02/16,15,8,90,36780
0,normandie,2020/02/17,9,7,81,36960
0,normandie,2020/02/18,10,6,83,37140
0,normandie,2020/02/19,8,6,89,37380
0,normandie,2020/02/20,11,7,84,37620
0,normandie,2020/02/21,9,4,86,37740
0,normandie,2020/02/22,12,8,87,37980
0,normandie,2020/02/23,13,12,88,38220
0,normandie,2020/02/24,13,11,85,38400
0,normandie,2020/02/25,8,6,85,38640
0,normandie,2020/02/26,7,4,76,38880
0,normandie,2020/02/27,9,6,88,39060
0,normandie,2020/02/28,10,5,90,39300
0,normandie,2020/02/29,9,6,88,39480
0,normandie,2020/03/01,8,5,81,39720
0,normandie,2020/03/02,7,6,89,39960
0,normandie,2020/03/03,8,5,84,40200
0,normandie,2020/03/04,8,5,93,40380
0,normandie,2020/03/05,10,8,96,40620
0,normandie,2020/03/06,8,5,85,40800
0,normandie,2020/03/07,12,6,87,41040
0,normandie,2020/03/08,11,8,89,41220
0,normandie,2020/03/09,10,7,80,41460
0,normandie,2020/03/10,14,12,92,41700
0,normandie,2020/03/11,14,12,87,41940
0,normandie,2020/03/12,12,7,74,42180
0,normandie,2020/03/13,10,7,81,42360
0,normandie,2020/03/14,12,9,89,42600
0,normandie,2020/03/15,11,8,86,42780
0,normandie,2020/03/16,10,7,88,43020
0,normandie,2020/03/17,14,7,67,43200
0,normandie,2020/03/18,15,9,85,43440
0,normandie,2020/03/19,14,10,88,43620
0,normandie,2020/03/20,11,8,93,43860
0,normandie,2020/03/21,9,7,89,44100
0,normandie,2020/03/22,9,4,80,44340
0,normandie,2020/03/23,11,3,-1,-1
0,normandie,2020/03/24,13,4,-1,-1
0,normandie,2020/03/25,11,3,-1,-1
0,normandie,2020/03/26,9,5,-1,-1
0,normandie,2020/03/27,10,6,-1,-1
0,normandie,2020/03/28,11,9,87,45600
0,normandie,2020/03/29,7,5,70,45780
0,normandie,2020/03/30,7,3,74,46020
0,normandie,2020/03/31,9,5,81,46260
0,normandie,2020/04/01,8,4,79,46500
0,normandie,2020/04/02,10,6,89,46740
0,normandie,2020/04/03,11,7,89,46920
0,normandie,2020/04/04,15,8,85,47160
0,normandie,2020/04/05,18,11,79,47340
0,normandie,2020/04/06,16,10,85,47580
0,normandie,2020/04/07,17,9,91,47760
0,normandie,2020/04/08,19,12,83,48000
0,normandie,2020/04/09,20,15,81,48180
0,normandie,2020/04/10,20,15,76,48420
0,normandie,2020/04/11,21,16,81,48600
0,normandie,2020/04/12,21,14,80,48840
0,normandie,2020/04/13,12,7,85,49020
0,normandie,2020/04/14,10,5,81,49260
0,normandie,2020/04/15,15,7,85,49440
0,normandie,2020/04/16,20,14,87,49680
0,normandie,2020/04/17,19,14,91,49860
0,normandie,2020/04/18,16,10,94,50100
0,normandie,2020/04/19,13,11,91,50340
0,normandie,2020/04/20,17,12,-1,-1
0,normandie,2020/04/21,15,11,-1,-1
0,normandie,2020/04/22,16,11,90,50940
0,normandie,2020/04/23,20,13,85,51180
0,normandie,2020/04/24,17,11,85,51360
0,normandie,2020/04/25,14,10,90,51600
0,normandie,2020/04/26,16,12,77,51780
0,normandie,2020/04/27,16,11,94,52020
0,normandie,2020/04/28,15,10,92,52140
0,normandie,2020/04/29,12,9,87,52380
0,normandie,2020/04/30,12,8,88,52560
0,normandie,2020/05/01,14,7,85,52800
0,normandie,2020/05/02,14,10,81,52920
0,normandie,2020/05/03,17,13,94,53160
0,normandie,2020/05/04,16,13,89,53340
0,normandie,2020/05/05,14,12,93,53520
0,normandie,2020/05/06,16,12,89,53700
0,normandie,2020/05/07,19,13,84,53940
0,normandie,2020/05/08,19,14,88,54060
0,normandie,2020/05/09,17,15,92,54240
0,normandie,2020/05/10,17,12,88,54420
0,normandie,2020/05/11,10,8,70,54600
0,normandie,2020/05/12,10,7,80,54780
0,normandie,2020/05/13,12,7,73,54900
0,normandie,2020/05/14,11,8,72,55080
0,normandie,2020/05/15,12,9,-1,-1
0,normandie,2020/05/16,13,9,-1,-1
0,normandie,2020/05/17,16,11,-1,-1
0,normandie,2020/05/18,18,12,-1,-1
0,normandie,2020/05/19,17,13,-1,-1
0,normandie,2020/05/20,22,16,-1,-1
0,normandie,2020/05/21,20,17,84,56160
0,normandie,2020/05/22,18,12,82,56280
0,normandie,2020/05/23,16,10,87,56460
0,normandie,2020/05/24,16,12,87,56580
0,normandie,2020/05/25,18,14,86,56700
0,normandie,2020/05/26,19,14,80,56760
0,normandie,2020/05/27,19,15,-1,-1
0,normandie,2020/05/28,18,14,-1,-1
0,normandie,2020/05/29,20,15,-1,-1
0,normandie,2020/05/30,20,16,-1,-1
0,normandie,2020/05/31,20,15,-1,-1
0,normandie,2020/06/01,20,15,-1,-1
0,normandie,2020/06/02,19,14,78,57600
0,normandie,2020/06/03,19,13,88,57600
0,normandie,2020/06/04,13,11,95,57720
0,normandie,2020/06/05,14,12,81,57780
0,normandie,2020/06/06,13,11,77,57900
0,normandie,2020/06/07,16,11,87,57960
0,normandie,2020/06/08,15,11,88,58020
0,normandie,2020/06/09,15,11,86,58080
0,normandie,2020/06/10,13,10,97,58140
0,normandie,2020/06/11,17,13,94,58200
0,normandie,2020/06/12,17,13,97,58260
0,normandie,2020/06/13,18,14,92,58320
0,normandie,2020/06/14,20,15,93,58320
0,normandie,2020/06/15,17,14,91,58320
0,normandie,2020/06/16,19,15,91,58380
0,normandie,2020/06/17,19,14,92,58380
0,normandie,2020/06/18,19,14,94,58440
0,normandie,2020/06/19,17,15,83,58440
0,normandie,2020/06/20,19,15,88,58440
0,normandie,2020/06/21,18,15,94,58440
0,normandie,2020/06/22,20,15,82,58380
0,normandie,2020/06/23,23,19,-1,-1
0,normandie,2020/06/24,27,21,80,58440
0,normandie,2020/06/25,28,24,85,58380
0,normandie,2020/06/26,23,18,89,58380
0,normandie,2020/06/27,20,14,86,58320
0,normandie,2020/06/28,18,15,84,58260
0,normandie,2020/06/29,17,13,84,58200
0,normandie,2020/06/30,21,17,86,58200
0,normandie,2020/07/01,20,16,94,58140
0,normandie,2020/07/02,18,12,95,58080
0,normandie,2020/07/03,19,11,93,58020
0,normandie,2020/07/04,18,15,91,57960
0,normandie,2020/07/05,19,17,88,57840
0,normandie,2020/07/06,17,13,77,57840
0,normandie,2020/07/07,20,11,94,57720
0,normandie,2020/07/08,21,13,90,57660
0,normandie,2020/07/09,24,15,95,57540
0,normandie,2020/07/10,17,15,90,57420
0,normandie,2020/07/11,18,14,83,57360
0,normandie,2020/07/12,19,11,-1,-1
0,normandie,2020/07/13,20,14,88,57120
0,normandie,2020/07/14,19,14,95,57000
0,normandie,2020/07/15,18,14,85,56880
0,normandie,2020/07/16,20,15,90,56760
0,normandie,2020/07/17,22,14,-1,-1
0,normandie,2020/07/18,21,13,-1,-1
0,normandie,2020/07/19,22,13,90,56400
0,normandie,2020/07/20,19,15,84,56220
0,normandie,2020/07/21,19,11,76,56100
0,normandie,2020/07/22,20,12,-1,-1
0,normandie,2020/07/23,22,13,80,55860
0,normandie,2020/07/24,22,15,96,55740
0,normandie,2020/07/25,21,16,91,55560
0,normandie,2020/07/26,21,14,95,55380
0,normandie,2020/07/27,24,13,88,55260
0,normandie,2020/07/28,20,12,92,55080
0,normandie,2020/07/29,20,12,-1,-1
0,normandie,2020/07/30,28,13,-1,-1
0,normandie,2020/07/31,30,20,-1,-1
0,normandie,2020/08/01,23,18,88,54420
0,normandie,2020/08/02,19,13,91,54240
0,normandie,2020/08/03,19,13,90,54060
0,normandie,2020/08/04,23,11,91,53880
0,normandie,2020/08/05,26,13,-1,-1
0,normandie,2020/08/06,29,18,-1,-1
0,normandie,2020/08/07,32,19,64,53340
0,normandie,2020/08/08,32,22,54,53160
0,normandie,2020/08/09,30,18,82,52980
0,normandie,2020/08/10,30,18,79,52740
0,normandie,2020/08/11,31,20,87,52560
0,normandie,2020/08/12,30,21,83,52440
0,normandie,2020/08/13,26,18,94,52200
0,normandie,2020/08/14,22,18,96,52020
0,normandie,2020/08/15,24,18,93,51780
0,normandie,2020/08/16,24,16,95,51600
0,normandie,2020/08/17,22,13,93,51360
0,normandie,2020/08/18,23,14,95,51240
0,normandie,2020/08/19,20,17,94,51000
0,normandie,2020/08/20,25,18,86,50820
0,normandie,2020/08/21,23,17,79,50640
0,normandie,2020/08/22,21,15,88,50400
0,normandie,2020/08/23,20,13,84,50220
0,normandie,2020/08/24,22,13,94,49980
0,normandie,2020/08/25,21,15,86,49800
0,normandie,2020/08/26,19,16,73,49560
0,normandie,2020/08/27,21,13,86,49380
0,normandie,2020/08/28,19,13,91,49140
0,normandie,2020/08/29,15,13,91,48960
0,normandie,2020/08/30,16,14,90,48660
0,normandie,2020/08/31,17,12,83,48480
0,normandie,2020/09/01,18,11,86,48300
0,normandie,2020/09/02,21,11,-1,-1
0,normandie,2020/09/03,23,16,-1,-1
0,normandie,2020/09/04,20,17,88,47640
0,normandie,2020/09/05,18,13,92,47460
0,normandie,2020/09/06,19,10,88,47220
0,normandie,2020/09/07,20,11,93,47040
0,normandie,2020/09/08,22,14,-1,-1
0,normandie,2020/09/09,22,13,95,46560
0,normandie,2020/09/10,20,16,97,46380
0,normandie,2020/09/11,20,13,91,46140
0,normandie,2020/09/12,20,9,-1,-1
0,normandie,2020/09/13,26,13,-1,-1
0,normandie,2020/09/14,30,15,-1,-1
0,normandie,2020/09/15,27,18,67,45300
0,normandie,2020/09/16,21,17,93,45060
0,normandie,2020/09/17,23,15,91,44880
0,normandie,2020/09/18,24,11,80,44640
0,normandie,2020/09/19,24,16,89,44460
0,normandie,2020/09/20,23,16,92,44220
0,normandie,2020/09/21,22,15,81,44040
0,normandie,2020/09/22,22,13,68,43800
0,normandie,2020/09/23,19,14,92,43620
0,normandie,2020/09/24,16,10,90,43380
0,normandie,2020/09/25,13,10,82,43140
0,normandie,2020/09/26,13,9,80,42960
0,normandie,2020/09/27,13,11,79,42720
0,normandie,2020/09/28,17,10,83,42540
0,normandie,2020/09/29,19,15,96,42300
0,normandie,2020/09/30,19,14,92,42120
0,normandie,2020/10/01,15,12,92,41820
0,normandie,2020/10/02,16,10,84,41640
0,normandie,2020/10/03,16,9,91,41400
0,normandie,2020/10/04,13,9,91,41220
0,normandie,2020/10/05,14,12,94,40980
0,normandie,2020/10/06,14,12,85,40800
0,normandie,2020/10/07,16,11,86,40560
0,normandie,2020/10/08,18,14,84,40380
0,normandie,2020/10/09,14,12,93,40140
0,normandie,2020/10/10,13,8,83,39900
0,normandie,2020/10/11,13,9,89,39660
0,normandie,2020/10/12,13,8,89,39480
0,normandie,2020/10/13,11,10,86,39240
0,normandie,2020/10/14,13,5,90,39000
0,normandie,2020/10/15,12,8,81,38880
0,normandie,2020/10/16,12,8,88,38640
0,normandie,2020/10/17,12,6,86,38460
0,normandie,2020/10/18,13,6,-1,-1
0,normandie,2020/10/19,14,6,88,38040
0,normandie,2020/10/20,18,15,81,37800
0,normandie,2020/10/21,18,15,88,37620
0,normandie,2020/10/22,17,11,85,37380
0,normandie,2020/10/23,16,9,87,37200
0,normandie,2020/10/24,16,12,94,37020
0,normandie,2020/10/25,13,10,88,36780
0,normandie,2020/10/26,12,8,87,36600
0,normandie,2020/10/27,13,8,93,36360
0,normandie,2020/10/28,13,9,88,36180
0,normandie,2020/10/29,15,11,89,36000
0,normandie,2020/10/30,16,13,87,35760
0,normandie,2020/10/31,15,10,93,35640
0,normandie,2020/11/01,18,14,92,35400
0,normandie,2020/11/02,18,13,83,35160
0,normandie,2020/11/03,10,8,83,35040
0,normandie,2020/11/04,11,4,92,34800
0,normandie,2020/11/05,10,5,90,34680
0,normandie,2020/11/06,12,4,-1,-1
0,normandie,2020/11/07,17,9,93,34320
0,normandie,2020/11/08,17,13,93,34080
0,normandie,2020/11/09,16,11,91,33900
0,normandie,2020/11/10,14,10,96,33720
0,normandie,2020/11/11,13,8,94,33540
0,normandie,2020/11/12,13,8,90,33420
0,normandie,2020/11/13,14,12,91,33180
0,normandie,2020/11/14,15,12,92,33060
0,normandie,2020/11/15,15,11,86,32880
0,normandie,2020/11/16,12,10,83,32700
0,normandie,2020/11/17,14,10,92,32520
0,normandie,2020/11/18,15,9,90,32340
0,normandie,2020/11/19,10,9,79,32220
0,normandie,2020/11/20,10,6,81,32040
0,normandie,2020/11/21,10,7,87,31920
0,normandie,2020/11/22,11,7,89,31740
0,normandie,2020/11/23,12,9,94,31620
0,normandie,2020/11/24,10,6,96,31500
0,normandie,2020/11/25,12,7,93,31380
0,normandie,2020/11/26,11,7,91,31260
0,normandie,2020/11/27,11,8,-1,-1
0,normandie,2020/11/28,12,7,-1,-1
0,normandie,2020/11/29,9,5,80,30840
0,normandie,2020/11/30,10,4,77,30720
0,normandie,2020/12/01,-1,-1,-1,-1
