,region,date,tmax,tmin,wet,suntime
0,pays-de-la-loire,2020/01/01,11,10,97,30840
0,pays-de-la-loire,2020/01/02,12,9,91,30900
0,pays-de-la-loire,2020/01/03,12,10,94,30960
0,pays-de-la-loire,2020/01/04,9,5,90,31020
0,pays-de-la-loire,2020/01/05,9,4,-1,-1
0,pays-de-la-loire,2020/01/06,10,2,91,31200
0,pays-de-la-loire,2020/01/07,12,11,99,31260
0,pays-de-la-loire,2020/01/08,13,12,95,31320
0,pays-de-la-loire,2020/01/09,13,10,91,31380
0,pays-de-la-loire,2020/01/10,9,7,84,31500
0,pays-de-la-loire,2020/01/11,9,5,90,31620
0,pays-de-la-loire,2020/01/12,12,10,92,31740
0,pays-de-la-loire,2020/01/13,12,10,95,31800
0,pays-de-la-loire,2020/01/14,12,11,88,31920
0,pays-de-la-loire,2020/01/15,12,10,87,32040
0,pays-de-la-loire,2020/01/16,12,8,85,32160
0,pays-de-la-loire,2020/01/17,10,7,85,32280
0,pays-de-la-loire,2020/01/18,9,6,86,32400
0,pays-de-la-loire,2020/01/19,7,2,86,32520
0,pays-de-la-loire,2020/01/20,7,2,-1,-1
0,pays-de-la-loire,2020/01/21,5,0,-1,-1
0,pays-de-la-loire,2020/01/22,7,0,-1,-1
0,pays-de-la-loire,2020/01/23,5,1,71,33120
0,pays-de-la-loire,2020/01/24,11,5,86,33240
0,pays-de-la-loire,2020/01/25,11,6,94,33420
0,pays-de-la-loire,2020/01/26,11,7,92,33540
0,pays-de-la-loire,2020/01/27,10,9,91,33720
0,pays-de-la-loire,2020/01/28,8,7,86,33840
0,pays-de-la-loire,2020/01/29,12,8,93,34020
0,pays-de-la-loire,2020/01/30,13,10,96,34140
0,pays-de-la-loire,2020/01/31,13,11,95,34320
0,pays-de-la-loire,2020/02/01,13,12,94,34500
0,pays-de-la-loire,2020/02/02,14,13,94,34680
0,pays-de-la-loire,2020/02/03,14,13,95,34800
0,pays-de-la-loire,2020/02/04,10,7,82,35040
0,pays-de-la-loire,2020/02/05,10,5,91,35160
0,pays-de-la-loire,2020/02/06,9,2,-1,-1
0,pays-de-la-loire,2020/02/07,13,4,95,35580
0,pays-de-la-loire,2020/02/08,11,9,93,35700
0,pays-de-la-loire,2020/02/09,12,10,89,35940
0,pays-de-la-loire,2020/02/10,12,9,78,36060
0,pays-de-la-loire,2020/02/11,9,7,82,36300
0,pays-de-la-loire,2020/02/12,10,7,84,36420
0,pays-de-la-loire,2020/02/13,11,10,84,36660
0,pays-de-la-loire,2020/02/14,12,8,90,36780
0,pays-de-la-loire,2020/02/15,14,11,91,37020
0,pays-de-la-loire,2020/02/16,15,13,86,37260
0,pays-de-la-loire,2020/02/17,10,8,82,37380
0,pays-de-la-loire,2020/02/18,11,8,84,37620
0,pays-de-la-loire,2020/02/19,11,9,90,37800
0,pays-de-la-loire,2020/02/20,11,9,85,37980
0,pays-de-la-loire,2020/02/21,10,5,80,38160
0,pays-de-la-loire,2020/02/22,13,9,-1,-1
0,pays-de-la-loire,2020/02/23,13,12,92,38520
0,pays-de-la-loire,2020/02/24,12,11,88,38760
0,pays-de-la-loire,2020/02/25,11,8,87,38940
0,pays-de-la-loire,2020/02/26,8,4,77,39180
0,pays-de-la-loire,2020/02/27,12,9,90,39360
0,pays-de-la-loire,2020/02/28,11,9,94,39540
0,pays-de-la-loire,2020/02/29,10,7,89,39720
0,pays-de-la-loire,2020/03/01,9,7,95,39960
0,pays-de-la-loire,2020/03/02,9,6,87,40200
0,pays-de-la-loire,2020/03/03,8,6,91,40380
0,pays-de-la-loire,2020/03/04,12,7,95,40620
0,pays-de-la-loire,2020/03/05,12,8,91,40800
0,pays-de-la-loire,2020/03/06,8,6,93,40980
0,pays-de-la-loire,2020/03/07,12,6,87,41220
0,pays-de-la-loire,2020/03/08,12,10,91,41400
0,pays-de-la-loire,2020/03/09,11,8,81,41640
0,pays-de-la-loire,2020/03/10,12,11,94,41820
0,pays-de-la-loire,2020/03/11,15,12,89,42000
0,pays-de-la-loire,2020/03/12,11,9,88,42240
0,pays-de-la-loire,2020/03/13,11,7,76,42420
0,pays-de-la-loire,2020/03/14,12,10,86,42660
0,pays-de-la-loire,2020/03/15,13,9,91,42840
0,pays-de-la-loire,2020/03/16,11,8,92,43080
0,pays-de-la-loire,2020/03/17,14,8,91,43260
0,pays-de-la-loire,2020/03/18,16,11,91,43440
0,pays-de-la-loire,2020/03/19,19,12,89,43680
0,pays-de-la-loire,2020/03/20,18,11,77,43860
0,pays-de-la-loire,2020/03/21,15,9,-1,-1
0,pays-de-la-loire,2020/03/22,10,7,82,44280
0,pays-de-la-loire,2020/03/23,16,7,82,44460
0,pays-de-la-loire,2020/03/24,13,6,82,44640
0,pays-de-la-loire,2020/03/25,11,4,-1,-1
0,pays-de-la-loire,2020/03/26,10,4,-1,-1
0,pays-de-la-loire,2020/03/27,12,5,73,45240
0,pays-de-la-loire,2020/03/28,13,7,82,45420
0,pays-de-la-loire,2020/03/29,9,6,67,45660
0,pays-de-la-loire,2020/03/30,8,2,57,45840
0,pays-de-la-loire,2020/03/31,11,5,-1,-1
0,pays-de-la-loire,2020/04/01,12,5,-1,-1
0,pays-de-la-loire,2020/04/02,10,4,-1,-1
0,pays-de-la-loire,2020/04/03,14,7,-1,-1
0,pays-de-la-loire,2020/04/04,15,9,-1,-1
0,pays-de-la-loire,2020/04/05,17,11,78,47100
0,pays-de-la-loire,2020/04/06,17,12,82,47280
0,pays-de-la-loire,2020/04/07,18,12,96,47460
0,pays-de-la-loire,2020/04/08,19,14,89,47700
0,pays-de-la-loire,2020/04/09,21,15,84,47880
0,pays-de-la-loire,2020/04/10,22,15,76,48120
0,pays-de-la-loire,2020/04/11,22,15,77,48300
0,pays-de-la-loire,2020/04/12,20,13,92,48540
0,pays-de-la-loire,2020/04/13,18,12,92,48720
0,pays-de-la-loire,2020/04/14,14,7,68,48840
0,pays-de-la-loire,2020/04/15,18,9,-1,-1
0,pays-de-la-loire,2020/04/16,19,15,82,49260
0,pays-de-la-loire,2020/04/17,19,13,91,49500
0,pays-de-la-loire,2020/04/18,20,13,87,49680
0,pays-de-la-loire,2020/04/19,17,13,95,49860
0,pays-de-la-loire,2020/04/20,17,12,95,50100
0,pays-de-la-loire,2020/04/21,19,13,91,50220
0,pays-de-la-loire,2020/04/22,20,16,85,50460
0,pays-de-la-loire,2020/04/23,19,14,92,50640
0,pays-de-la-loire,2020/04/24,19,15,91,50820
0,pays-de-la-loire,2020/04/25,20,15,91,51000
0,pays-de-la-loire,2020/04/26,20,15,91,51180
0,pays-de-la-loire,2020/04/27,15,7,94,51420
0,pays-de-la-loire,2020/04/28,15,12,88,51600
0,pays-de-la-loire,2020/04/29,14,8,93,51720
0,pays-de-la-loire,2020/04/30,14,10,84,51960
0,pays-de-la-loire,2020/05/01,13,11,90,52140
0,pays-de-la-loire,2020/05/02,15,12,98,52260
0,pays-de-la-loire,2020/05/03,18,14,96,52500
0,pays-de-la-loire,2020/05/04,21,16,92,52620
0,pays-de-la-loire,2020/05/05,18,14,88,52800
0,pays-de-la-loire,2020/05/06,20,15,88,52980
0,pays-de-la-loire,2020/05/07,20,15,85,53160
0,pays-de-la-loire,2020/05/08,21,17,94,53340
0,pays-de-la-loire,2020/05/09,22,17,89,53520
0,pays-de-la-loire,2020/05/10,21,17,90,53640
0,pays-de-la-loire,2020/05/11,15,8,88,53760
0,pays-de-la-loire,2020/05/12,13,8,76,54000
0,pays-de-la-loire,2020/05/13,14,9,-1,-1
0,pays-de-la-loire,2020/05/14,14,8,-1,-1
0,pays-de-la-loire,2020/05/15,15,9,-1,-1
0,pays-de-la-loire,2020/05/16,17,11,-1,-1
0,pays-de-la-loire,2020/05/17,20,13,-1,-1
0,pays-de-la-loire,2020/05/18,21,13,-1,-1
0,pays-de-la-loire,2020/05/19,22,15,-1,-1
0,pays-de-la-loire,2020/05/20,25,18,-1,-1
0,pays-de-la-loire,2020/05/21,26,19,76,55260
0,pays-de-la-loire,2020/05/22,20,14,85,55380
0,pays-de-la-loire,2020/05/23,18,13,84,55500
0,pays-de-la-loire,2020/05/24,20,14,83,55620
0,pays-de-la-loire,2020/05/25,22,15,-1,-1
0,pays-de-la-loire,2020/05/26,23,18,-1,-1
0,pays-de-la-loire,2020/05/27,24,18,-1,-1
0,pays-de-la-loire,2020/05/28,24,18,-1,-1
0,pays-de-la-loire,2020/05/29,23,18,-1,-1
0,pays-de-la-loire,2020/05/30,23,17,-1,-1
0,pays-de-la-loire,2020/05/31,23,17,-1,-1
0,pays-de-la-loire,2020/06/01,24,17,-1,-1
0,pays-de-la-loire,2020/06/02,27,20,78,56580
0,pays-de-la-loire,2020/06/03,22,17,82,56640
0,pays-de-la-loire,2020/06/04,17,13,79,56700
0,pays-de-la-loire,2020/06/05,17,15,78,56760
0,pays-de-la-loire,2020/06/06,16,11,71,56880
0,pays-de-la-loire,2020/06/07,18,13,85,56940
0,pays-de-la-loire,2020/06/08,19,14,87,56940
0,pays-de-la-loire,2020/06/09,19,13,86,57060
0,pays-de-la-loire,2020/06/10,15,12,91,57120
0,pays-de-la-loire,2020/06/11,13,9,94,57120
0,pays-de-la-loire,2020/06/12,17,13,86,57180
0,pays-de-la-loire,2020/06/13,18,15,88,57180
0,pays-de-la-loire,2020/06/14,19,15,90,57300
0,pays-de-la-loire,2020/06/15,19,15,92,57300
0,pays-de-la-loire,2020/06/16,18,14,88,57360
0,pays-de-la-loire,2020/06/17,18,14,90,57360
0,pays-de-la-loire,2020/06/18,19,14,88,57300
0,pays-de-la-loire,2020/06/19,19,14,85,57360
0,pays-de-la-loire,2020/06/20,20,15,89,57360
0,pays-de-la-loire,2020/06/21,20,14,92,57360
0,pays-de-la-loire,2020/06/22,25,17,73,57360
0,pays-de-la-loire,2020/06/23,25,18,-1,-1
0,pays-de-la-loire,2020/06/24,32,23,76,57300
0,pays-de-la-loire,2020/06/25,28,20,82,57300
0,pays-de-la-loire,2020/06/26,20,16,88,57240
0,pays-de-la-loire,2020/06/27,21,15,89,57240
0,pays-de-la-loire,2020/06/28,18,16,91,57180
0,pays-de-la-loire,2020/06/29,19,14,82,57180
0,pays-de-la-loire,2020/06/30,21,17,92,57120
