,region,date,tmax,tmin,wet,suntime
0,picardie,2020/01/01,4,-1,-1,-1
0,picardie,2020/01/02,8,4,99,29520
0,picardie,2020/01/03,10,6,92,29580
0,picardie,2020/01/04,8,4,91,29640
0,picardie,2020/01/05,8,5,92,29700
0,picardie,2020/01/06,6,1,93,29820
0,picardie,2020/01/07,9,6,95,29880
0,picardie,2020/01/08,12,8,97,29940
0,picardie,2020/01/09,12,10,89,30120
0,picardie,2020/01/10,8,4,92,30180
0,picardie,2020/01/11,7,3,91,30300
0,picardie,2020/01/12,11,6,92,30420
0,picardie,2020/01/13,10,5,95,30540
0,picardie,2020/01/14,11,5,85,30660
0,picardie,2020/01/15,10,5,92,30780
0,picardie,2020/01/16,11,5,94,30900
0,picardie,2020/01/17,10,5,91,31080
0,picardie,2020/01/18,8,2,91,31200
0,picardie,2020/01/19,7,2,90,31380
0,picardie,2020/01/20,6,1,-1,-1
0,picardie,2020/01/21,5,1,-1,-1
0,picardie,2020/01/22,5,1,-1,-1
0,picardie,2020/01/23,5,0,-1,-1
0,picardie,2020/01/24,6,0,-1,-1
0,picardie,2020/01/25,6,1,-1,-1
0,picardie,2020/01/26,9,3,95,32460
0,picardie,2020/01/27,10,7,93,32640
0,picardie,2020/01/28,6,4,81,32760
0,picardie,2020/01/29,8,4,92,33000
0,picardie,2020/01/30,10,5,95,33180
0,picardie,2020/01/31,12,8,89,33360
0,picardie,2020/02/01,12,8,90,33540
0,picardie,2020/02/02,13,10,92,33720
0,picardie,2020/02/03,12,8,93,33960
0,picardie,2020/02/04,7,2,79,34080
0,picardie,2020/02/05,9,4,93,34320
0,picardie,2020/02/06,8,3,85,34500
0,picardie,2020/02/07,8,2,88,34740
0,picardie,2020/02/08,8,6,95,34920
0,picardie,2020/02/09,12,8,82,35100
0,picardie,2020/02/10,10,7,76,35340
0,picardie,2020/02/11,7,3,73,35580
0,picardie,2020/02/12,8,4,87,35700
0,picardie,2020/02/13,9,7,88,35940
0,picardie,2020/02/14,10,6,93,36180
0,picardie,2020/02/15,12,8,90,36420
0,picardie,2020/02/16,15,10,83,36600
0,picardie,2020/02/17,9,6,79,36780
0,picardie,2020/02/18,9,5,83,37020
0,picardie,2020/02/19,8,4,89,37200
0,picardie,2020/02/20,10,4,84,37440
0,picardie,2020/02/21,8,4,88,37680
0,picardie,2020/02/22,11,6,82,37920
0,picardie,2020/02/23,14,10,85,38100
0,picardie,2020/02/24,13,11,88,38340
0,picardie,2020/02/25,10,4,81,38580
0,picardie,2020/02/26,7,2,78,38760
0,picardie,2020/02/27,5,2,97,39000
0,picardie,2020/02/28,5,1,93,39240
0,picardie,2020/02/29,9,5,82,39420
0,picardie,2020/03/01,8,4,82,39660
0,picardie,2020/03/02,7,4,93,39900
0,picardie,2020/03/03,8,3,89,40080
0,picardie,2020/03/04,8,3,92,40320
0,picardie,2020/03/05,8,7,97,40560
0,picardie,2020/03/06,7,3,86,40740
0,picardie,2020/03/07,9,5,90,40980
0,picardie,2020/03/08,10,6,90,41220
0,picardie,2020/03/09,10,5,81,41460
0,picardie,2020/03/10,13,12,92,41700
0,picardie,2020/03/11,13,12,86,41880
0,picardie,2020/03/12,11,5,75,42120
0,picardie,2020/03/13,11,5,81,42300
0,picardie,2020/03/14,10,6,91,42540
0,picardie,2020/03/15,11,7,89,42780
0,picardie,2020/03/16,11,7,86,42960
0,picardie,2020/03/17,14,7,78,43260
0,picardie,2020/03/18,16,9,-1,-1
0,picardie,2020/03/19,13,10,82,43680
0,picardie,2020/03/20,10,6,88,43860
0,picardie,2020/03/21,8,5,85,44100
0,picardie,2020/03/22,11,4,69,44280
0,picardie,2020/03/23,10,2,-1,-1
0,picardie,2020/03/24,10,3,-1,-1
0,picardie,2020/03/25,10,2,-1,-1
0,picardie,2020/03/26,10,4,-1,-1
0,picardie,2020/03/27,12,5,-1,-1
0,picardie,2020/03/28,13,8,83,45660
0,picardie,2020/03/29,7,2,66,45840
0,picardie,2020/03/30,8,3,85,46140
0,picardie,2020/03/31,9,3,-1,-1
0,picardie,2020/04/01,10,3,76,46560
0,picardie,2020/04/02,10,5,90,46800
0,picardie,2020/04/03,12,6,84,46980
0,picardie,2020/04/04,14,8,80,47220
0,picardie,2020/04/05,18,9,81,47400
0,picardie,2020/04/06,14,10,86,47700
0,picardie,2020/04/07,18,11,87,47880
0,picardie,2020/04/08,21,15,75,48120
0,picardie,2020/04/09,22,15,73,48360
0,picardie,2020/04/10,22,15,-1,-1
0,picardie,2020/04/11,22,15,73,48780
0,picardie,2020/04/12,22,15,85,48960
0,picardie,2020/04/13,12,6,80,49200
0,picardie,2020/04/14,11,5,75,49440
0,picardie,2020/04/15,16,7,78,49680
0,picardie,2020/04/16,21,13,82,49920
0,picardie,2020/04/17,21,15,82,50100
0,picardie,2020/04/18,19,13,92,50340
0,picardie,2020/04/19,17,11,81,50520
0,picardie,2020/04/20,18,12,75,50760
0,picardie,2020/04/21,18,11,-1,-1
0,picardie,2020/04/22,19,13,-1,-1
0,picardie,2020/04/23,23,15,-1,-1
0,picardie,2020/04/24,20,14,-1,-1
0,picardie,2020/04/25,17,11,-1,-1
0,picardie,2020/04/26,19,11,77,51960
0,picardie,2020/04/27,20,14,88,52200
0,picardie,2020/04/28,16,11,92,52380
0,picardie,2020/04/29,15,9,90,52620
0,picardie,2020/04/30,13,8,90,52800
0,picardie,2020/05/01,14,7,93,52980
0,picardie,2020/05/02,14,6,91,53220
0,picardie,2020/05/03,13,7,95,53400
0,picardie,2020/05/04,16,9,97,53640
0,picardie,2020/05/05,15,8,78,53760
0,picardie,2020/05/06,17,8,-1,-1
0,picardie,2020/05/07,19,8,-1,-1
0,picardie,2020/05/08,20,12,82,54360
0,picardie,2020/05/09,21,13,91,54540
0,picardie,2020/05/10,19,12,89,54720
0,picardie,2020/05/11,11,6,66,54900
0,picardie,2020/05/12,11,4,78,55020
0,picardie,2020/05/13,13,4,80,55260
0,picardie,2020/05/14,12,4,72,55380
0,picardie,2020/05/15,14,4,-1,-1
0,picardie,2020/05/16,16,6,-1,-1
0,picardie,2020/05/17,19,7,-1,-1
0,picardie,2020/05/18,18,9,-1,-1
0,picardie,2020/05/19,20,9,-1,-1
0,picardie,2020/05/20,23,12,89,56400
0,picardie,2020/05/21,24,15,89,56520
0,picardie,2020/05/22,19,12,87,56640
0,picardie,2020/05/23,16,10,81,56760
0,picardie,2020/05/24,17,10,91,56940
0,picardie,2020/05/25,21,11,91,57060
0,picardie,2020/05/26,22,12,84,57180
0,picardie,2020/05/27,22,12,83,57300
0,picardie,2020/05/28,19,10,-1,-1
0,picardie,2020/05/29,21,9,-1,-1
0,picardie,2020/05/30,21,11,-1,-1
0,picardie,2020/05/31,20,11,-1,-1
0,picardie,2020/06/01,23,12,-1,-1
0,picardie,2020/06/02,25,14,86,57960
0,picardie,2020/06/03,21,13,84,58020
0,picardie,2020/06/04,14,10,89,58140
0,picardie,2020/06/05,14,9,95,58200
0,picardie,2020/06/06,14,9,89,58320
0,picardie,2020/06/07,18,10,92,58380
0,picardie,2020/06/08,16,10,93,58440
0,picardie,2020/06/09,16,8,89,58500
0,picardie,2020/06/10,18,9,93,58560
0,picardie,2020/06/11,20,11,90,58620
0,picardie,2020/06/12,18,13,93,58680
0,picardie,2020/06/13,21,12,93,58680
0,picardie,2020/06/14,21,12,94,58740
0,picardie,2020/06/15,20,13,94,58740
0,picardie,2020/06/16,20,13,93,58800
0,picardie,2020/06/17,20,14,89,58800
0,picardie,2020/06/18,19,13,93,58860
0,picardie,2020/06/19,18,12,94,58860
0,picardie,2020/06/20,20,12,87,58860
0,picardie,2020/06/21,18,15,92,58860
0,picardie,2020/06/22,20,12,93,58800
0,picardie,2020/06/23,25,15,-1,-1
0,picardie,2020/06/24,27,16,-1,-1
0,picardie,2020/06/25,27,17,81,58800
0,picardie,2020/06/26,25,20,91,58800
0,picardie,2020/06/27,21,16,92,58680
0,picardie,2020/06/28,19,14,88,58680
0,picardie,2020/06/29,16,12,84,58620
0,picardie,2020/06/30,20,13,93,58620
0,picardie,2020/07/01,19,17,91,58560
0,picardie,2020/07/02,19,14,92,58500
0,picardie,2020/07/03,20,13,94,58440
0,picardie,2020/07/04,19,13,89,58380
0,picardie,2020/07/05,19,18,88,58260
0,picardie,2020/07/06,18,12,80,58200
0,picardie,2020/07/07,20,12,89,58140
0,picardie,2020/07/08,18,13,89,58020
0,picardie,2020/07/09,24,16,91,57960
0,picardie,2020/07/10,19,16,89,57840
0,picardie,2020/07/11,20,12,81,57720
0,picardie,2020/07/12,21,11,86,57660
0,picardie,2020/07/13,23,12,85,57540
0,picardie,2020/07/14,20,13,84,57420
0,picardie,2020/07/15,19,14,89,57300
0,picardie,2020/07/16,19,15,89,57180
0,picardie,2020/07/17,23,15,92,57000
0,picardie,2020/07/18,23,14,92,56880
0,picardie,2020/07/19,24,13,-1,-1
0,picardie,2020/07/20,21,14,-1,-1
0,picardie,2020/07/21,22,11,-1,-1
0,picardie,2020/07/22,21,11,-1,-1
0,picardie,2020/07/23,23,13,75,56160
0,picardie,2020/07/24,23,15,90,56040
0,picardie,2020/07/25,23,16,87,55920
0,picardie,2020/07/26,21,15,93,55680
0,picardie,2020/07/27,26,14,83,55560
0,picardie,2020/07/28,20,16,77,55440
0,picardie,2020/07/29,22,13,88,55200
0,picardie,2020/07/30,27,14,77,55080
0,picardie,2020/07/31,35,18,69,54900
0,picardie,2020/08/01,25,18,95,54720
0,picardie,2020/08/02,21,14,88,54540
0,picardie,2020/08/03,20,13,88,54300
0,picardie,2020/08/04,22,13,82,54180
0,picardie,2020/08/05,27,14,70,54000
0,picardie,2020/08/06,31,17,-1,-1
0,picardie,2020/08/07,33,20,64,53640
0,picardie,2020/08/08,35,22,58,53400
0,picardie,2020/08/09,35,22,68,53220
0,picardie,2020/08/10,33,22,74,53040
0,picardie,2020/08/11,34,21,79,52860
0,picardie,2020/08/12,34,23,68,52620
0,picardie,2020/08/13,29,20,91,52440
0,picardie,2020/08/14,24,19,90,52200
0,picardie,2020/08/15,25,17,95,52020
0,picardie,2020/08/16,25,18,91,51780
0,picardie,2020/08/17,22,16,88,51600
0,picardie,2020/08/18,24,15,91,51360
0,picardie,2020/08/19,23,17,85,51180
0,picardie,2020/08/20,27,18,88,50940
0,picardie,2020/08/21,26,19,83,50760
0,picardie,2020/08/22,22,16,85,50520
0,picardie,2020/08/23,21,14,85,50340
0,picardie,2020/08/24,21,13,89,50100
0,picardie,2020/08/25,21,14,84,49920
0,picardie,2020/08/26,20,16,72,49680
0,picardie,2020/08/27,23,12,90,49500
0,picardie,2020/08/28,20,13,92,49260
0,picardie,2020/08/29,17,11,94,49080
0,picardie,2020/08/30,18,14,94,48840
0,picardie,2020/08/31,17,10,80,48660
0,picardie,2020/09/01,18,11,87,48420
0,picardie,2020/09/02,20,10,87,48180
0,picardie,2020/09/03,24,15,63,47940
0,picardie,2020/09/04,21,17,94,47760
0,picardie,2020/09/05,19,13,91,47520
0,picardie,2020/09/06,19,12,82,47340
0,picardie,2020/09/07,21,11,88,47100
0,picardie,2020/09/08,20,15,-1,-1
0,picardie,2020/09/09,23,13,90,46620
0,picardie,2020/09/10,22,16,94,46440
0,picardie,2020/09/11,23,12,82,46200
0,picardie,2020/09/12,21,11,-1,-1
0,picardie,2020/09/13,26,13,-1,-1
0,picardie,2020/09/14,30,14,-1,-1
0,picardie,2020/09/15,32,18,51,45300
0,picardie,2020/09/16,29,18,85,45120
0,picardie,2020/09/17,21,13,82,44880
0,picardie,2020/09/18,25,10,81,44700
0,picardie,2020/09/19,24,17,83,44460
0,picardie,2020/09/20,25,16,90,44280
0,picardie,2020/09/21,24,11,83,44040
0,picardie,2020/09/22,24,12,85,43800
0,picardie,2020/09/23,19,14,95,43620
0,picardie,2020/09/24,15,9,88,43380
0,picardie,2020/09/25,12,9,87,43200
0,picardie,2020/09/26,11,9,73,42960
0,picardie,2020/09/27,17,11,88,42720
0,picardie,2020/09/28,14,13,95,42480
0,picardie,2020/09/29,19,13,98,42300
0,picardie,2020/09/30,18,14,96,42060
0,picardie,2020/10/01,15,14,90,41820
0,picardie,2020/10/02,13,11,92,41580
0,picardie,2020/10/03,15,10,92,41400
0,picardie,2020/10/04,14,10,83,41160
0,picardie,2020/10/05,16,10,93,40980
0,picardie,2020/10/06,14,12,86,40740
0,picardie,2020/10/07,14,10,92,40440
0,picardie,2020/10/08,17,14,87,40260
0,picardie,2020/10/09,16,12,94,40020
0,picardie,2020/10/10,13,7,87,39840
0,picardie,2020/10/11,13,7,95,39600
0,picardie,2020/10/12,13,6,94,39420
0,picardie,2020/10/13,10,9,93,39180
0,picardie,2020/10/14,12,7,88,38940
0,picardie,2020/10/15,12,7,78,38760
0,picardie,2020/10/16,11,6,-1,-1
0,picardie,2020/10/17,13,8,77,38280
0,picardie,2020/10/18,12,8,90,38100
0,picardie,2020/10/19,13,7,90,37860
0,picardie,2020/10/20,16,11,80,37680
0,picardie,2020/10/21,18,13,86,37440
0,picardie,2020/10/22,16,10,93,37260
0,picardie,2020/10/23,17,10,94,37080
0,picardie,2020/10/24,16,12,90,36840
0,picardie,2020/10/25,14,13,84,36600
0,picardie,2020/10/26,12,7,89,36420
0,picardie,2020/10/27,10,7,92,36180
0,picardie,2020/10/28,13,9,89,35940
0,picardie,2020/10/29,12,10,87,35820
0,picardie,2020/10/30,16,12,88,35580
0,picardie,2020/10/31,16,9,92,35400
0,picardie,2020/11/01,17,12,90,35220
0,picardie,2020/11/02,18,16,82,34980
0,picardie,2020/11/03,11,6,87,34800
0,picardie,2020/11/04,11,4,92,34620
0,picardie,2020/11/05,10,4,91,34380
0,picardie,2020/11/06,10,3,-1,-1
0,picardie,2020/11/07,14,7,-1,-1
0,picardie,2020/11/08,15,10,88,33780
0,picardie,2020/11/09,16,10,95,33660
0,picardie,2020/11/10,15,10,95,33420
0,picardie,2020/11/11,13,8,96,33300
0,picardie,2020/11/12,12,10,84,33120
0,picardie,2020/11/13,14,10,88,32880
0,picardie,2020/11/14,14,11,95,32760
0,picardie,2020/11/15,14,12,80,32580
0,picardie,2020/11/16,12,10,84,32400
0,picardie,2020/11/17,13,9,90,32220
0,picardie,2020/11/18,14,8,94,32040
0,picardie,2020/11/19,11,9,78,31920
0,picardie,2020/11/20,8,4,81,31740
0,picardie,2020/11/21,10,5,84,31620
0,picardie,2020/11/22,11,8,86,31440
0,picardie,2020/11/23,11,8,90,31320
0,picardie,2020/11/24,9,5,95,31140
0,picardie,2020/11/25,10,5,-1,-1
0,picardie,2020/11/26,11,6,92,30840
0,picardie,2020/11/27,7,5,92,30780
