,region,date,tmax,tmin,wet,suntime
0,rh-ne-alpes,2020/01/01,9,5,77,31440
0,rh-ne-alpes,2020/01/02,9,5,83,31500
0,rh-ne-alpes,2020/01/03,8,5,-1,-1
0,rh-ne-alpes,2020/01/04,8,5,-1,-1
0,rh-ne-alpes,2020/01/05,6,4,-1,-1
0,rh-ne-alpes,2020/01/06,10,4,83,31740
0,rh-ne-alpes,2020/01/07,9,5,88,31800
0,rh-ne-alpes,2020/01/08,8,6,85,31920
0,rh-ne-alpes,2020/01/09,11,7,-1,-1
0,rh-ne-alpes,2020/01/10,11,8,-1,-1
0,rh-ne-alpes,2020/01/11,7,4,-1,-1
0,rh-ne-alpes,2020/01/12,8,4,84,32280
0,rh-ne-alpes,2020/01/13,8,5,72,32400
0,rh-ne-alpes,2020/01/14,11,7,77,32460
0,rh-ne-alpes,2020/01/15,11,8,70,32640
0,rh-ne-alpes,2020/01/16,11,7,-1,-1
0,rh-ne-alpes,2020/01/17,10,8,-1,-1
0,rh-ne-alpes,2020/01/18,7,5,-1,-1
0,rh-ne-alpes,2020/01/19,5,2,-1,-1
0,rh-ne-alpes,2020/01/20,6,2,71,33180
0,rh-ne-alpes,2020/01/21,5,1,75,33360
0,rh-ne-alpes,2020/01/22,7,2,69,33480
0,rh-ne-alpes,2020/01/23,7,2,71,33600
0,rh-ne-alpes,2020/01/24,9,4,84,33720
0,rh-ne-alpes,2020/01/25,11,4,-1,-1
0,rh-ne-alpes,2020/01/26,10,7,-1,-1
0,rh-ne-alpes,2020/01/27,9,6,-1,-1
0,rh-ne-alpes,2020/01/28,10,7,-1,-1
0,rh-ne-alpes,2020/01/29,8,7,-1,-1
0,rh-ne-alpes,2020/01/30,7,6,-1,-1
0,rh-ne-alpes,2020/01/31,13,9,-1,-1
0,rh-ne-alpes,2020/02/01,13,10,-1,-1
0,rh-ne-alpes,2020/02/02,11,10,-1,-1
0,rh-ne-alpes,2020/02/03,18,12,-1,-1
0,rh-ne-alpes,2020/02/04,11,6,-1,-1
0,rh-ne-alpes,2020/02/05,7,4,-1,-1
0,rh-ne-alpes,2020/02/06,8,2,-1,-1
0,rh-ne-alpes,2020/02/07,11,6,70,35940
0,rh-ne-alpes,2020/02/08,12,7,79,36120
0,rh-ne-alpes,2020/02/09,12,8,-1,-1
0,rh-ne-alpes,2020/02/10,14,11,-1,-1
0,rh-ne-alpes,2020/02/11,10,8,-1,-1
0,rh-ne-alpes,2020/02/12,10,6,-1,-1
0,rh-ne-alpes,2020/02/13,9,6,-1,-1
0,rh-ne-alpes,2020/02/14,12,8,-1,-1
0,rh-ne-alpes,2020/02/15,14,8,-1,-1
0,rh-ne-alpes,2020/02/16,14,10,-1,-1
0,rh-ne-alpes,2020/02/17,13,10,-1,-1
0,rh-ne-alpes,2020/02/18,10,7,-1,-1
0,rh-ne-alpes,2020/02/19,10,6,-1,-1
0,rh-ne-alpes,2020/02/20,13,7,-1,-1
0,rh-ne-alpes,2020/02/21,10,7,-1,-1
0,rh-ne-alpes,2020/02/22,16,9,62,38700
0,rh-ne-alpes,2020/02/23,18,10,61,38820
0,rh-ne-alpes,2020/02/24,19,10,-1,-1
0,rh-ne-alpes,2020/02/25,12,9,-1,-1
0,rh-ne-alpes,2020/02/26,7,4,-1,-1
0,rh-ne-alpes,2020/02/27,6,3,-1,-1
